# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  76               3.52097163E+00   1.38262086E+03   8.38660015E-01   1.60317874E-01   3.91410099E-04   1.39995025E-04   3.90730059E-04   1.87939568E-06   1.85325124E-06   5.98481288E-05  
  77               4.14102196E+00   1.43052982E+03   8.38692467E-01   1.60309309E-01   3.65627426E-04   1.13902875E-04   4.16785283E-04   1.87747240E-06   3.28532625E-06   5.98396109E-05  
  78               4.85532335E+00   1.48031201E+03   8.38717345E-01   1.60301827E-01   3.44379501E-04   9.19229775E-05   4.38727446E-04   1.87874482E-06   5.72540275E-06   5.98286406E-05  
  79               5.66207246E+00   1.52877085E+03   8.38730055E-01   1.60295433E-01   3.29431408E-04   7.54297076E-05   4.55182469E-04   1.89637177E-06   9.45976485E-06   5.98090969E-05  
  80               6.54986933E+00   1.58000860E+03   8.38726562E-01   1.60287523E-01   3.19344353E-04   6.02017407E-05   4.70363045E-04   1.90159724E-06   1.56168556E-05   5.97943251E-05  
  81               7.48856420E+00   1.63027744E+03   8.38718308E-01   1.60282188E-01   3.23087755E-04   4.68854514E-05   4.83640690E-04   1.90651154E-06   2.47822250E-05   5.97821125E-05  
  82               8.44438802E+00   1.68313399E+03   8.38705946E-01   1.60276223E-01   3.17646288E-04   3.65698115E-05   4.93912092E-04   1.88895329E-06   3.93489155E-05   5.97791285E-05  
  83               9.38508912E+00   1.73060674E+03   8.38668563E-01   1.60269198E-01   3.24639732E-04   2.87577277E-05   5.01681096E-04   1.88191575E-06   5.80935549E-05   5.97732865E-05  
  84               1.02542031E+01   1.77133966E+03   8.38595559E-01   1.60259211E-01   3.46949608E-04   2.26169678E-05   5.07778269E-04   1.88095743E-06   7.97360998E-05   5.97676541E-05  
  85               1.10187458E+01   1.80486681E+03   8.38500723E-01   1.60250313E-01   3.94266099E-04   1.74328147E-05   5.12935083E-04   1.88406885E-06   1.02291384E-04   5.97662829E-05  
  86               1.16723506E+01   1.83217858E+03   8.38482582E-01   1.60248005E-01   3.92550580E-04   1.57373244E-05   5.14609544E-04   1.88865624E-06   1.24419987E-04   5.97583395E-05  
  87               1.23839874E+01   1.86043509E+03   8.38449381E-01   1.60243388E-01   3.91015665E-04   1.42290492E-05   5.16087661E-04   1.89589603E-06   1.51357668E-04   5.97478073E-05  
  88               1.29600515E+01   1.88245069E+03   8.38428448E-01   1.60241128E-01   3.89963035E-04   1.31926284E-05   5.17104346E-04   1.90259617E-06   1.75573669E-04   5.97394374E-05  
  89               1.33931523E+01   1.89841904E+03   8.38411407E-01   1.60239355E-01   3.89269926E-04   1.25137089E-05   5.17768065E-04   1.90848455E-06   1.95060379E-04   5.97327005E-05  
  90               1.38742432E+01   1.91573694E+03   8.38391011E-01   1.60237289E-01   3.88575505E-04   1.18330198E-05   5.18431435E-04   1.91531872E-06   2.18192342E-04   5.97250383E-05  
  91               1.44068613E+01   1.93426007E+03   8.38366870E-01   1.60234906E-01   3.87898480E-04   1.11701769E-05   5.19074652E-04   1.92376011E-06   2.45366005E-04   5.97160899E-05  
  92               1.49947306E+01   1.95412407E+03   8.38338097E-01   1.60232126E-01   3.87234041E-04   1.05199554E-05   5.19702554E-04   1.93348276E-06   2.77549095E-04   5.97059560E-05  
  93               1.56408157E+01   1.97514861E+03   8.38272618E-01   1.60222879E-01   3.86591914E-04   9.89811304E-06   5.20279202E-04   1.94501364E-06   3.15257555E-04   5.96920591E-05  
  94               1.61012361E+01   1.98976492E+03   8.38246775E-01   1.60220478E-01   3.86177224E-04   9.49793900E-06   5.20660925E-04   1.95335045E-06   3.43894315E-04   5.96836816E-05  
  95               1.64189533E+01   1.99959671E+03   8.38228309E-01   1.60218765E-01   3.85928805E-04   9.24565439E-06   5.20900237E-04   1.95948829E-06   3.64297817E-04   5.96776894E-05  
  96               1.67770512E+01   2.01055588E+03   8.38206651E-01   1.60216766E-01   3.85647690E-04   8.97565269E-06   5.21155328E-04   1.96633756E-06   3.88213547E-04   5.96709368E-05  
  97               1.71795117E+01   2.02256334E+03   8.38181565E-01   1.60214466E-01   3.85381611E-04   8.69697486E-06   5.21417029E-04   1.97445907E-06   4.15830248E-04   5.96631244E-05  
  98               1.76305654E+01   2.03580768E+03   8.38152209E-01   1.60211788E-01   3.85076200E-04   8.40517219E-06   5.21689369E-04   1.98355274E-06   4.48140728E-04   5.96543226E-05  
  99               1.81346521E+01   2.05019459E+03   8.38118194E-01   1.60208705E-01   3.84802642E-04   8.10894383E-06   5.21963485E-04   1.99419839E-06   4.85465396E-04   5.96442214E-05  
  100              1.86963171E+01   2.06589486E+03   8.38078503E-01   1.60205124E-01   3.84482895E-04   7.80548401E-06   5.22241676E-04   2.00611431E-06   5.29042939E-04   5.96328653E-05  
  101              1.93225273E+01   2.08284813E+03   8.38030485E-01   1.60200613E-01   3.84161645E-04   7.50286560E-06   5.22514266E-04   2.01994283E-06   5.79518045E-04   5.96197324E-05  
