# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  49               2.29387733E-01   2.34016967E+03   8.18074606E-01   1.58455889E-01   2.22922750E-02   5.24649131E-04   3.75535811E-04   6.00884738E-05   6.55288546E-05   5.48907148E-05  
  50               2.51236816E-01   2.37502552E+03   8.15349015E-01   1.58218226E-01   2.52572292E-02   5.23862549E-04   3.74575826E-04   5.99971937E-05   6.53989084E-05   5.48046121E-05  
  51               2.75288027E-01   2.40962599E+03   8.12430012E-01   1.57963706E-01   2.84325781E-02   5.23020059E-04   3.73537196E-04   5.98993095E-05   6.52604512E-05   5.47124567E-05  
  52               3.01757172E-01   2.44380919E+03   8.09344662E-01   1.57694690E-01   3.17888763E-02   5.22129470E-04   3.72426937E-04   5.97956744E-05   6.51144420E-05   5.46150642E-05  
  53               3.30877065E-01   2.47772020E+03   8.06084736E-01   1.57410458E-01   3.53350752E-02   5.21188407E-04   3.71239481E-04   5.96859594E-05   6.49605084E-05   5.45121723E-05  
  54               3.62870428E-01   2.51122862E+03   8.02678206E-01   1.57113450E-01   3.90407455E-02   5.20204940E-04   3.69982211E-04   5.95710269E-05   6.47996659E-05   5.44046257E-05  
  55               3.98016139E-01   2.54451814E+03   7.99110208E-01   1.56802368E-01   4.29220560E-02   5.19174778E-04   3.68647068E-04   5.94502947E-05   6.46312890E-05   5.42919590E-05  
  56               4.36614517E-01   2.57746896E+03   7.95412092E-01   1.56479946E-01   4.69449035E-02   5.18106962E-04   3.67242935E-04   5.93247003E-05   6.44564769E-05   5.41751145E-05  
  57               4.78987750E-01   2.61022500E+03   7.91572434E-01   1.56145186E-01   5.11217140E-02   5.16998190E-04   3.65763095E-04   5.91937254E-05   6.42747420E-05   5.40537322E-05  
  58               5.25478504E-01   2.64269104E+03   7.87620910E-01   1.55800676E-01   5.54202053E-02   5.15857021E-04   3.64216365E-04   5.90581965E-05   6.40871250E-05   5.39287035E-05  
  59               5.76450475E-01   2.67500688E+03   7.83543289E-01   1.55445175E-01   5.98558572E-02   5.14679341E-04   3.62595153E-04   5.89174230E-05   6.38930499E-05   5.37995841E-05  
  60               6.32288268E-01   2.70709063E+03   7.79367408E-01   1.55081107E-01   6.43983878E-02   5.13473174E-04   3.60908178E-04   5.87720827E-05   6.36934985E-05   5.36672104E-05  
  61               6.93400768E-01   2.73901651E+03   7.75089440E-01   1.54708141E-01   6.90519584E-02   5.12237408E-04   3.59152175E-04   5.86217206E-05   6.34882909E-05   5.35314557E-05  
  62               7.60222625E-01   2.77071091E+03   7.70737239E-01   1.54328702E-01   7.37862685E-02   5.10980072E-04   3.57336692E-04   5.84668915E-05   6.32784112E-05   5.33931569E-05  
  63               8.33216731E-01   2.80225049E+03   7.66304916E-01   1.53942278E-01   7.86077229E-02   5.09699453E-04   3.55458118E-04   5.83069059E-05   6.30636102E-05   5.32521254E-05  
  64               9.12877565E-01   2.83359326E+03   7.61813587E-01   1.53550709E-01   8.34933511E-02   5.08401636E-04   3.53524033E-04   5.81419031E-05   6.28446253E-05   5.31089930E-05  
  65               9.99731700E-01   2.86482841E+03   7.57251627E-01   1.53152981E-01   8.84557969E-02   5.07083249E-04   3.51528742E-04   5.79707452E-05   6.26210040E-05   5.29633975E-05  
  66               1.09433932E+00   2.89590274E+03   7.52642383E-01   1.52751130E-01   9.34696609E-02   5.05751018E-04   3.49481345E-04   5.77933772E-05   6.23935664E-05   5.28160385E-05  
  67               1.19729886E+00   2.92689527E+03   7.47974420E-01   1.52344156E-01   9.85473804E-02   5.04401623E-04   3.47376433E-04   5.76083097E-05   6.21618718E-05   5.26665601E-05  
  68               1.30925175E+00   2.95774809E+03   7.43272592E-01   1.51934229E-01   1.03661918E-01   5.03042220E-04   3.45224392E-04   5.74151646E-05   6.19267896E-05   5.25157068E-05  
  69               1.43088764E+00   2.98854304E+03   7.38522979E-01   1.51520132E-01   1.08828413E-01   5.01668769E-04   3.43018913E-04   5.72118583E-05   6.16877878E-05   5.23630468E-05  
  70               1.56294945E+00   3.01922269E+03   7.33750757E-01   1.51104062E-01   1.14019475E-01   5.00288516E-04   3.40771133E-04   5.69975032E-05   6.14457377E-05   5.22093331E-05  
  71               1.70620991E+00   3.04986750E+03   7.28940072E-01   1.50684635E-01   1.19252347E-01   4.98896856E-04   3.38473986E-04   5.67692459E-05   6.12000479E-05   5.20540762E-05  
  72               1.86149389E+00   3.08040331E+03   7.24120748E-01   1.50264451E-01   1.24494585E-01   4.97502372E-04   3.36141348E-04   5.65257030E-05   6.09517606E-05   5.18981703E-05  
  73               2.02970212E+00   3.11092932E+03   7.19270243E-01   1.49841545E-01   1.29770704E-01   4.96098523E-04   3.33763088E-04   5.62627987E-05   6.07000376E-05   5.17409220E-05  
  74               2.21181780E+00   3.14136591E+03   7.14421442E-01   1.49418783E-01   1.35044927E-01   4.94694769E-04   3.31355065E-04   5.59783761E-05   6.04460045E-05   5.15833145E-05  
  75               2.40891123E+00   3.17183831E+03   7.09542542E-01   1.48993392E-01   1.40351846E-01   4.93281886E-04   3.28902551E-04   5.56666125E-05   6.01884821E-05   5.14243720E-05  
  76               2.62214712E+00   3.20226579E+03   7.04667489E-01   1.48568331E-01   1.45654527E-01   4.91869631E-04   3.26422326E-04   5.53241711E-05   5.99286139E-05   5.12651067E-05  
  77               2.85279013E+00   3.23279145E+03   6.99756993E-01   1.48140173E-01   1.50995704E-01   4.90446609E-04   3.23895526E-04   5.49429658E-05   5.96649524E-05   5.11043149E-05  
  78               3.10221733E+00   3.26331125E+03   6.94853244E-01   1.47712598E-01   1.56329475E-01   4.89024945E-04   3.21343335E-04   5.45185054E-05   5.93989140E-05   5.09432550E-05  
  79               3.37192625E+00   3.29398208E+03   6.89910892E-01   1.47281650E-01   1.61705163E-01   4.87591481E-04   3.18743258E-04   5.40398399E-05   5.91288366E-05   5.07805390E-05  
  80               3.66355274E+00   3.32467594E+03   6.84981186E-01   1.46851796E-01   1.67067009E-01   4.86160946E-04   3.16121496E-04   5.35011660E-05   5.88564313E-05   5.06176951E-05  
  81               3.97888243E+00   3.35556689E+03   6.80011810E-01   1.46418473E-01   1.72471912E-01   4.84718151E-04   3.13451295E-04   5.28878636E-05   5.85797900E-05   5.04531229E-05  
  82               4.31986125E+00   3.38651018E+03   6.75060818E-01   1.45986744E-01   1.77856711E-01   4.83279775E-04   3.10762891E-04   5.21925973E-05   5.83008358E-05   5.02885518E-05  
  83               4.68860619E+00   3.41769992E+03   6.70067614E-01   1.45551322E-01   1.83287305E-01   4.81828218E-04   3.08024337E-04   5.13961608E-05   5.80173783E-05   5.01221307E-05  
  84               5.08742299E+00   3.44897739E+03   6.65095934E-01   1.45117765E-01   1.88694353E-01   4.80381781E-04   3.05269390E-04   5.04897863E-05   5.77315141E-05   4.99557560E-05  
  85               5.51881941E+00   3.48055591E+03   6.60077115E-01   1.44680082E-01   1.94152524E-01   4.78920507E-04   3.02460700E-04   4.94490145E-05   5.74407853E-05   4.97873331E-05  
  86               5.98552646E+00   3.51226043E+03   6.55081399E-01   1.44244398E-01   1.99585399E-01   4.77464555E-04   2.99636054E-04   4.82646330E-05   5.71474884E-05   4.96189496E-05  
  87               6.49051508E+00   3.54432229E+03   6.50032540E-01   1.43804061E-01   2.05075893E-01   4.75991747E-04   2.96752682E-04   4.69070359E-05   5.68489221E-05   4.94482828E-05  
  88               7.03702147E+00   3.57654928E+03   6.45007630E-01   1.43365793E-01   2.10540137E-01   4.74524196E-04   2.93852710E-04   4.53690285E-05   5.65475907E-05   4.92776214E-05  
  89               7.62857138E+00   3.60919221E+03   6.39922509E-01   1.42922252E-01   2.16069654E-01   4.73037396E-04   2.90887498E-04   4.36175402E-05   5.62405451E-05   4.91044051E-05  
  90               8.26900855E+00   3.64204179E+03   6.34861150E-01   1.42480761E-01   2.21573095E-01   4.71555421E-04   2.87903689E-04   4.16523912E-05   5.59304930E-05   4.89311239E-05  
  91               8.96251964E+00   3.67536344E+03   6.29733474E-01   1.42033460E-01   2.27148425E-01   4.70052002E-04   2.84847696E-04   3.94423609E-05   5.56143124E-05   4.87550407E-05  
  92               9.71367136E+00   3.70892939E+03   6.24630809E-01   1.41588316E-01   2.32696309E-01   4.68553303E-04   2.81771200E-04   3.70033678E-05   5.52949256E-05   4.85788604E-05  
  93               1.05274476E+01   3.74301881E+03   6.19457805E-01   1.41137011E-01   2.38320455E-01   4.67031455E-04   2.78615950E-04   3.43159376E-05   5.49690645E-05   4.83996893E-05  
  94               1.14092943E+01   3.77738572E+03   6.14313114E-01   1.40688151E-01   2.43913592E-01   4.65514679E-04   2.75438982E-04   3.14249742E-05   5.46398549E-05   4.82204446E-05  
  95               1.23651627E+01   3.81232942E+03   6.09094111E-01   1.40232788E-01   2.49587365E-01   4.63972880E-04   2.72176121E-04   2.83355728E-05   5.43038228E-05   4.80380171E-05  
  96               1.34015542E+01   3.84759524E+03   6.03903082E-01   1.39779847E-01   2.55230584E-01   4.62435208E-04   2.68887833E-04   2.51323208E-05   5.39641726E-05   4.78554250E-05  
  97               1.45255787E+01   3.88349683E+03   5.98632531E-01   1.39319957E-01   2.60960225E-01   4.60869938E-04   2.65505404E-04   2.18549311E-05   5.36173147E-05   4.76694171E-05  
  98               1.57450144E+01   3.91976169E+03   5.93391627E-01   1.38862650E-01   2.66657647E-01   4.59307970E-04   2.62095107E-04   1.86262671E-05   5.32666304E-05   4.74832083E-05  
  99               1.70683867E+01   3.95671308E+03   5.88070190E-01   1.38398321E-01   2.72442768E-01   4.57716406E-04   2.58585242E-04   1.55106427E-05   5.29084881E-05   4.72934706E-05  
  100              1.85050484E+01   3.99406199E+03   5.82783695E-01   1.37937052E-01   2.78190092E-01   4.56127562E-04   2.55048087E-04   1.26357330E-05   5.25464120E-05   4.71035945E-05  
  101              2.00652753E+01   4.03214502E+03   5.77418338E-01   1.37468922E-01   2.84023464E-01   4.54506864E-04   2.51408662E-04   1.00499676E-05   5.21766989E-05   4.69101457E-05  
