# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              H               
  76               3.26944322E+01   1.23013259E+03   8.38133001E-01   1.60446956E-01   5.28357758E-04   7.77869650E-04   2.81734645E-05   2.92686760E-06   2.42828629E-05   5.43994522E-08  
  77               3.70021330E+01   1.27461202E+03   8.38136467E-01   1.60446034E-01   5.26343921E-04   7.76053396E-04   2.65755998E-05   4.93434604E-06   2.42821184E-05   1.09654482E-07  
  78               4.17614191E+01   1.32025236E+03   8.38141215E-01   1.60444778E-01   5.23209360E-04   7.73133282E-04   2.51741861E-05   8.05926683E-06   2.42809771E-05   2.14203674E-07  
  79               4.70020819E+01   1.36531993E+03   8.38147346E-01   1.60443159E-01   5.18812132E-04   7.68952483E-04   2.40782049E-05   1.24426955E-05   2.42793339E-05   3.96046249E-07  
  80               5.27527417E+01   1.41140947E+03   8.38155655E-01   1.60440966E-01   5.12591451E-04   7.62956572E-04   2.31148759E-05   1.86428934E-05   2.42768860E-05   7.12622730E-07  
  81               5.90599852E+01   1.45686698E+03   8.38165886E-01   1.60438239E-01   5.04648177E-04   7.55238629E-04   2.23791390E-05   2.65579212E-05   2.42733627E-05   1.22337768E-06  
  82               6.59748605E+01   1.50323442E+03   8.38178697E-01   1.60434764E-01   4.94422269E-04   7.45265631E-04   2.17440866E-05   3.67440271E-05   2.42678285E-05   2.05125331E-06  
  83               7.35648411E+01   1.54958212E+03   8.38193411E-01   1.60430616E-01   4.82207503E-04   7.33388099E-04   2.12555132E-05   4.89054826E-05   2.42584685E-05   3.32758558E-06  
  84               8.18679477E+01   1.59654965E+03   8.38208477E-01   1.60425419E-01   4.67847039E-04   7.19474435E-04   2.08571324E-05   6.31938581E-05   2.42400886E-05   5.27415092E-06  
  85               9.08827239E+01   1.64322604E+03   8.38224661E-01   1.60420008E-01   4.51882117E-04   7.05985418E-04   2.05705619E-05   7.90682644E-05   2.41248380E-05   8.10737670E-06  
  86               1.00580486E+02   1.68976656E+03   8.38227123E-01   1.60411149E-01   4.34901186E-04   6.89350866E-04   2.03605104E-05   9.59258082E-05   2.41116136E-05   1.21427266E-05  
  87               1.10901454E+02   1.73539666E+03   8.38228833E-01   1.60404378E-01   4.15394322E-04   6.89395841E-04   2.02342671E-05   1.15294442E-04   2.32621115E-05   1.76432498E-05  
  88               1.21823919E+02   1.78030109E+03   8.38243749E-01   1.60398006E-01   3.97795767E-04   6.72607997E-04   2.01692947E-05   1.32730328E-04   2.32432894E-05   2.49860586E-05  
  89               1.33345553E+02   1.82417977E+03   8.38252670E-01   1.60391183E-01   3.80592235E-04   6.57425591E-04   2.01669472E-05   1.49743574E-04   2.32048496E-05   3.44859803E-05  
  90               1.45344305E+02   1.86695080E+03   8.38253402E-01   1.60383797E-01   3.63641085E-04   6.45515264E-04   2.02064168E-05   1.66476338E-04   2.31243850E-05   4.64906241E-05  
  91               1.57563610E+02   1.90750662E+03   8.38239227E-01   1.60375221E-01   3.47129430E-04   6.39886542E-04   2.02916833E-05   1.82747841E-04   2.29705606E-05   6.08871706E-05  
  92               1.70698670E+02   1.94856595E+03   8.38192721E-01   1.60362155E-01   3.29074981E-04   6.43715119E-04   2.04086666E-05   2.00520405E-04   2.26918087E-05   7.90438428E-05  
  93               1.83542284E+02   1.98613016E+03   8.38108034E-01   1.60347323E-01   3.06336552E-04   6.82876417E-04   2.05535407E-05   2.22999086E-04   2.20405591E-05   9.93239392E-05  
  94               1.95541726E+02   2.01949809E+03   8.38102386E-01   1.60342206E-01   2.95384136E-04   6.72192370E-04   2.07035640E-05   2.33688768E-04   2.20212944E-05   1.20749561E-04  
  95               2.08780289E+02   2.05424674E+03   8.38092000E-01   1.60336811E-01   2.84690145E-04   6.61802512E-04   2.08899533E-05   2.44081426E-04   2.19994210E-05   1.46883198E-04  
  96               2.23374134E+02   2.09068086E+03   8.38068075E-01   1.60329499E-01   2.74107263E-04   6.51565251E-04   2.11047063E-05   2.54310881E-04   2.19738509E-05   1.79033773E-04  
  97               2.36552494E+02   2.12178670E+03   8.38049508E-01   1.60324413E-01   2.65690221E-04   6.43473491E-04   2.13131460E-05   2.62402429E-04   2.19505900E-05   2.10725905E-04  
  98               2.47713574E+02   2.14715122E+03   8.38030964E-01   1.60320104E-01   2.59151901E-04   6.37221136E-04   2.14922505E-05   2.68655110E-04   2.19302281E-05   2.39781740E-04  
  99               2.60293610E+02   2.17447682E+03   8.38007218E-01   1.60315329E-01   2.52532221E-04   6.30932455E-04   2.17036462E-05   2.74945741E-04   2.19072509E-05   2.74524289E-04  
  100              2.74432553E+02   2.20406020E+03   8.37976924E-01   1.60309923E-01   2.45717983E-04   6.24506571E-04   2.19421859E-05   2.81377725E-04   2.18806866E-05   3.16553375E-04  
  101              2.90250489E+02   2.23553105E+03   8.37901977E-01   1.60296831E-01   2.38965330E-04   6.18220278E-04   2.22173509E-05   2.87669210E-04   2.18500510E-05   3.66600177E-04  
