# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              CO               N2              
  47               1.79273976E-01   2.60321431E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   1.67315229E-35   7.24758876E-15  
  48               2.05196822E-01   2.71324398E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   5.90841727E-34   3.00652553E-14  
  49               2.35383452E-01   2.82924331E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   1.87022618E-32   1.19153836E-13  
  50               2.70523796E-01   2.95165354E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724007E-04   2.29827256E-05   5.32697178E-31   4.52022136E-13  
  51               3.11427043E-01   3.08039549E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724004E-04   2.29827256E-05   1.35019173E-29   1.63351599E-12  
  52               3.59026689E-01   3.21598325E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828168E-04   1.21723996E-04   2.29827256E-05   3.06553046E-28   5.64043534E-12  
  53               4.14397745E-01   3.35824828E+02   8.38073994E-01   1.60463844E-01   5.31345355E-04   7.81828047E-04   1.21723971E-04   2.29827256E-05   6.17123524E-27   1.85251259E-11  
  54               4.78774933E-01   3.50775339E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81826962E-04   1.21723891E-04   2.29827256E-05   1.11067004E-25   5.80875918E-11  
  55               5.53602377E-01   3.66437746E+02   8.38073990E-01   1.60463843E-01   5.31345352E-04   7.81826957E-04   1.21723660E-04   2.29827255E-05   1.77549288E-24   1.73368603E-10  
  56               6.40553827E-01   3.82881801E+02   8.38073996E-01   1.60463844E-01   5.31345354E-04   7.81820893E-04   1.21723018E-04   2.29827255E-05   2.54698702E-23   4.94745721E-10  
  57               7.41543440E-01   4.00087016E+02   8.38073747E-01   1.60463795E-01   5.31345194E-04   7.81820658E-04   1.21721279E-04   2.29827186E-05   3.25807712E-22   1.34589616E-09  
  58               8.58752824E-01   4.18120273E+02   8.38074025E-01   1.60463819E-01   5.31345271E-04   7.81521768E-04   1.21716980E-04   2.29827220E-05   3.74918592E-21   3.50433732E-09  
