# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  46               5.63761947E-03   2.65169004E+03   4.52127716E-01   4.20380254E-01   1.26549623E-01   4.19013113E-04   2.18604591E-04   3.05940349E-05   5.26988931E-05   5.14321331E-05  
  47               6.41382101E-03   2.67633646E+03   4.44213178E-01   4.28990152E-01   1.25859279E-01   4.16727870E-04   2.12905284E-04   3.28195520E-05   5.24077507E-05   5.33036218E-05  
  48               7.29236524E-03   2.70043392E+03   4.36081594E-01   4.37836172E-01   1.25149989E-01   4.14379900E-04   2.06978755E-04   3.52105716E-05   5.21085627E-05   5.51966707E-05  
  49               8.28519260E-03   2.72554069E+03   4.28292841E-01   4.46309249E-01   1.24470580E-01   4.12130862E-04   2.01176093E-04   3.76235607E-05   5.18216297E-05   5.70194805E-05  
  50               9.40527451E-03   2.75005073E+03   4.20213929E-01   4.55097981E-01   1.23765847E-01   4.09797985E-04   1.95112731E-04   4.02273065E-05   5.15240008E-05   5.88584629E-05  
  51               1.06665459E-02   2.77583083E+03   4.12352712E-01   4.63649895E-01   1.23080085E-01   4.07527912E-04   1.89116544E-04   4.28809264E-05   5.12340875E-05   6.06316729E-05  
  52               1.20839652E-02   2.80111069E+03   4.04169139E-01   4.72552483E-01   1.22366191E-01   4.05164702E-04   1.82853406E-04   4.57410823E-05   5.09323189E-05   6.24067738E-05  
  53               1.36735182E-02   2.82737313E+03   3.96328452E-01   4.81082055E-01   1.21682189E-01   4.02900450E-04   1.76762174E-04   4.86044629E-05   5.06428038E-05   6.40853471E-05  
  54               1.54522537E-02   2.85288161E+03   3.88388090E-01   4.89720049E-01   1.20989479E-01   4.00607363E-04   1.70568208E-04   5.16049397E-05   5.03495110E-05   6.57187226E-05  
  55               1.74382829E-02   2.87919860E+03   3.80940353E-01   4.97822121E-01   1.20339727E-01   3.98456480E-04   1.64673571E-04   5.45389747E-05   5.00738922E-05   6.72300403E-05  
  56               1.96509224E-02   2.90462321E+03   3.73484727E-01   5.05932754E-01   1.19689275E-01   3.96303271E-04   1.58761615E-04   5.75662306E-05   4.97978232E-05   6.86754268E-05  
  57               2.21107499E-02   2.93080835E+03   3.66545424E-01   5.13481674E-01   1.19083852E-01   3.94299118E-04   1.53192290E-04   6.04913571E-05   4.95402769E-05   6.99974980E-05  
  58               2.48398162E-02   2.95608590E+03   3.59567091E-01   5.21073023E-01   1.18475016E-01   3.92283646E-04   1.47607092E-04   6.35058589E-05   4.92811546E-05   7.12519859E-05  
  59               2.78617286E-02   2.98221802E+03   3.53010916E-01   5.28205086E-01   1.17902998E-01   3.90390039E-04   1.42322867E-04   6.64293027E-05   4.90371380E-05   7.23964635E-05  
  60               3.12018889E-02   3.00756716E+03   3.46288346E-01   5.35518118E-01   1.17316459E-01   3.88448331E-04   1.36955851E-04   6.94810393E-05   4.87869443E-05   7.34786191E-05  
  61               3.48871307E-02   3.03394944E+03   3.39852033E-01   5.42519690E-01   1.16754885E-01   3.86589238E-04   1.31815461E-04   7.24788938E-05   4.85469392E-05   7.44631193E-05  
  62               3.89455265E-02   3.05964538E+03   3.33155914E-01   5.49803832E-01   1.16170643E-01   3.84655056E-04   1.26547067E-04   7.56392636E-05   4.82973964E-05   7.53815878E-05  
  63               4.34075423E-02   3.08644223E+03   3.26701656E-01   5.56824794E-01   1.15607494E-01   3.82790660E-04   1.21490166E-04   7.87537056E-05   4.80564415E-05   7.62040156E-05  
  64               4.83065883E-02   3.11252916E+03   3.20009115E-01   5.64104887E-01   1.15023553E-01   3.80857374E-04   1.16336372E-04   8.20208294E-05   4.78067439E-05   7.69482468E-05  
  65               5.36793766E-02   3.13967020E+03   3.13616298E-01   5.71058834E-01   1.14465754E-01   3.79010566E-04   1.11443401E-04   8.52078470E-05   4.75677203E-05   7.75962024E-05  
  66               5.95665951E-02   3.16599033E+03   3.07086028E-01   5.78162199E-01   1.13895959E-01   3.77123965E-04   1.06533191E-04   8.85008693E-05   4.73235991E-05   7.81576328E-05  
  67               6.60133269E-02   3.19325490E+03   3.00954805E-01   5.84831349E-01   1.13360970E-01   3.75352505E-04   1.01952862E-04   9.16584092E-05   4.70937148E-05   7.86312067E-05  
  68               7.30697618E-02   3.21958048E+03   2.94774603E-01   5.91553647E-01   1.12821702E-01   3.73566770E-04   9.74197635E-05   9.48767040E-05   4.68619129E-05   7.90203482E-05  
  69               8.07915019E-02   3.24684235E+03   2.89020132E-01   5.97812686E-01   1.12319567E-01   3.71903850E-04   9.32311506E-05   9.79354636E-05   4.66452740E-05   7.93380882E-05  
  70               8.92401831E-02   3.27321402E+03   2.83193197E-01   6.04150392E-01   1.11811103E-01   3.70219826E-04   8.90786550E-05   1.01060486E-04   4.64258531E-05   7.95766573E-05  
  71               9.84837073E-02   3.30068099E+03   2.77711269E-01   6.10112635E-01   1.11332729E-01   3.68635256E-04   8.52159998E-05   1.04054573E-04   4.62186514E-05   7.97567635E-05  
  72               1.08597002E-01   3.32741866E+03   2.72060585E-01   6.16258262E-01   1.10839625E-01   3.67001701E-04   8.13355917E-05   1.07158072E-04   4.60051907E-05   7.98556586E-05  
  73               1.19662417E-01   3.35547148E+03   2.66646853E-01   6.22145950E-01   1.10367183E-01   3.65436317E-04   7.76779221E-05   1.10177209E-04   4.58000351E-05   7.98998212E-05  
  74               1.31770846E-01   3.38295537E+03   2.60987304E-01   6.28300822E-01   1.09873286E-01   3.63799586E-04   7.39656623E-05   1.13343620E-04   4.55858510E-05   7.98540245E-05  
  75               1.45022459E-01   3.41190052E+03   2.55512718E-01   6.34254297E-01   1.09395517E-01   3.62215900E-04   7.04463125E-05   1.16448767E-04   4.53780852E-05   7.97541634E-05  
  76               1.59528261E-01   3.44032808E+03   2.49792398E-01   6.40474859E-01   1.08896300E-01   3.60560740E-04   6.68826438E-05   1.19703156E-04   4.51612999E-05   7.95578477E-05  
  77               1.75411041E-01   3.47025269E+03   2.44275770E-01   6.46473676E-01   1.08414847E-01   3.58963881E-04   6.35216105E-05   1.22885418E-04   4.49515839E-05   7.93132252E-05  
  78               1.92807184E-01   3.49963305E+03   2.38563808E-01   6.52684791E-01   1.07916348E-01   3.57309898E-04   6.01514889E-05   1.26192972E-04   4.47346575E-05   7.89724986E-05  
