# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               NH3             
  85               5.13732065E+01   2.25625957E+03   8.37651631E-01   1.60173607E-01   9.75074012E-04   3.95724712E-04   1.85649551E-05   5.10526536E-04   5.83340637E-05   4.17276591E-06  
  86               5.41949936E+01   2.28080252E+03   8.37553824E-01   1.60164985E-01   1.08180230E-03   3.95396483E-04   1.81923668E-05   5.10784337E-04   5.82657049E-05   4.26489153E-06  
  87               5.73457274E+01   2.31680631E+03   8.37382501E-01   1.60149404E-01   1.26746899E-03   3.94277918E-04   1.70348147E-05   5.11787620E-04   5.82115558E-05   4.31527140E-06  
  88               6.08541948E+01   2.34503461E+03   8.37235841E-01   1.60137018E-01   1.41866790E-03   3.99804675E-04   1.64626398E-05   5.12229015E-04   5.81337187E-05   4.42445740E-06  
  89               6.47537790E+01   2.38439761E+03   8.37007481E-01   1.60116768E-01   1.66805294E-03   3.99012378E-04   1.54786706E-05   5.13017585E-04   5.80626044E-05   4.49528943E-06  
  90               6.90791568E+01   2.41635081E+03   8.36812349E-01   1.60099732E-01   1.88030075E-03   3.98893468E-04   1.51838551E-05   5.13115546E-04   5.79630114E-05   4.62269280E-06  
  91               7.38716550E+01   2.45792882E+03   8.36515973E-01   1.60073671E-01   2.20330415E-03   3.98323797E-04   1.44221598E-05   5.13627967E-04   5.78694668E-05   4.72109027E-06  
  92               7.91697492E+01   2.49421982E+03   8.36239660E-01   1.60049583E-01   2.50377824E-03   3.98230553E-04   1.41359273E-05   5.13654242E-04   5.77513784E-05   4.86536320E-06  
  93               8.50243090E+01   2.53737201E+03   8.35863256E-01   1.60016668E-01   2.91343818E-03   3.97897602E-04   1.35959625E-05   5.13878649E-04   5.76315091E-05   4.99562136E-06  
  94               9.14861937E+01   2.57752733E+03   8.35485048E-01   1.59983744E-01   3.32458905E-03   3.97876379E-04   1.33507466E-05   5.13784396E-04   5.74904360E-05   5.16108833E-06  
  95               9.86202389E+01   2.62214365E+03   8.35012127E-01   1.59942532E-01   3.83884309E-03   3.97773354E-04   1.30010312E-05   5.13735374E-04   5.73405183E-05   5.32582910E-06  
  96               1.06493234E+02   2.66546659E+03   8.34513851E-01   1.59899210E-01   4.38034403E-03   3.97883151E-04   1.28307907E-05   5.13467683E-04   5.71705774E-05   5.51887196E-06  
  97               1.15187899E+02   2.71111166E+03   8.33933992E-01   1.59848799E-01   5.01048604E-03   3.98035411E-04   1.26628567E-05   5.13134929E-04   5.69852192E-05   5.72358808E-06  
  98               1.24789131E+02   2.75761546E+03   8.33288423E-01   1.59792715E-01   5.71189346E-03   3.98306942E-04   1.25624792E-05   5.12672378E-04   5.67805745E-05   5.94808962E-06  
  99               1.35397530E+02   2.80470790E+03   8.32578284E-01   1.59731065E-01   6.48329735E-03   3.98717898E-04   1.25375324E-05   5.12066716E-04   5.65545537E-05   6.19501478E-06  
  100              1.47120976E+02   2.85348210E+03   8.31775834E-01   1.59661413E-01   7.35491400E-03   3.99233104E-04   1.25408562E-05   5.11349388E-04   5.63067788E-05   6.46006248E-06  
  101              1.60078801E+02   2.90272492E+03   8.30901823E-01   1.59585592E-01   8.30408889E-03   3.99915253E-04   1.26195047E-05   5.10472923E-04   5.60335856E-05   6.75056834E-06  
