# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           N2              
  64               2.21340699E+00   4.34479736E+02   8.38073942E-01   1.60463816E-01   5.31345262E-04   7.81562988E-04   1.21720966E-04   2.29832546E-05   0.00000000E+00   1.51011753E-09  
  65               2.56201422E+00   4.53935720E+02   8.38073926E-01   1.60463812E-01   5.31345250E-04   7.81566016E-04   1.21716793E-04   2.29832541E-05   0.00000000E+00   3.59503863E-09  
  66               2.96480468E+00   4.74278344E+02   8.38073470E-01   1.60463736E-01   5.31344997E-04   7.81637580E-04   1.21707486E-04   2.29832432E-05   0.00000000E+00   8.21959274E-09  
  67               3.42904010E+00   4.95379441E+02   8.38071620E-01   1.60463733E-01   5.31344987E-04   7.83500808E-04   1.21688052E-04   2.29832428E-05   0.00000000E+00   1.79355790E-08  
  68               3.96318447E+00   5.17365941E+02   8.38068857E-01   1.60463193E-01   5.31343198E-04   7.83498170E-04   1.21648275E-04   2.29831654E-05   0.00000000E+00   3.76193481E-08  
  69               4.57818951E+00   5.40165273E+02   8.38071966E-01   1.60463447E-01   5.31344042E-04   7.80171829E-04   1.21572544E-04   2.29832019E-05   0.00000000E+00   7.55813734E-08  
  70               5.28575074E+00   5.63936921E+02   8.38072059E-01   1.60463425E-01   5.31343966E-04   7.80171726E-04   1.21430777E-04   2.29831986E-05   0.00000000E+00   1.46456216E-07  
  71               6.09787522E+00   5.88531440E+02   8.38072226E-01   1.60463384E-01   5.31343833E-04   7.80171550E-04   1.21179334E-04   2.29831928E-05   0.00000000E+00   2.72162227E-07  
  72               7.02756295E+00   6.14072085E+02   8.38072511E-01   1.60463315E-01   5.31343604E-04   7.80171258E-04   1.20748883E-04   2.29831830E-05   0.00000000E+00   4.87361817E-07  
  73               8.09005189E+00   6.40408388E+02   8.38072972E-01   1.60463203E-01   5.31343232E-04   7.80170804E-04   1.20050608E-04   2.29831669E-05   0.00000000E+00   8.36456772E-07  
  74               9.30548575E+00   6.67765229E+02   8.38073696E-01   1.60463028E-01   5.31342650E-04   7.80170138E-04   1.18956822E-04   2.29831417E-05   0.00000000E+00   1.38328308E-06  
  75               1.06957574E+01   6.96020436E+02   8.38074766E-01   1.60462768E-01   5.31341788E-04   7.80169238E-04   1.17338685E-04   2.29831045E-05   0.00000000E+00   2.19225309E-06  
  76               1.22844946E+01   7.25358644E+02   8.38076281E-01   1.60462400E-01   5.31340563E-04   7.80168129E-04   1.15045591E-04   2.29830518E-05   0.00000000E+00   3.33866058E-06  
  77               1.40973438E+01   7.55602684E+02   8.38078285E-01   1.60461910E-01   5.31338928E-04   7.80166968E-04   1.12004548E-04   2.29829816E-05   0.00000000E+00   4.85899637E-06  
  78               1.61662915E+01   7.86981351E+02   8.38080807E-01   1.60461289E-01   5.31336832E-04   7.80166048E-04   1.08157780E-04   2.29828925E-05   0.00000000E+00   6.78214462E-06  
  79               1.85376926E+01   8.19476560E+02   8.38083649E-01   1.60460521E-01   5.31334188E-04   7.80165775E-04   1.03589961E-04   2.29827824E-05   0.00000000E+00   9.06576285E-06  
  80               2.12582173E+01   8.53349636E+02   8.38087021E-01   1.60459677E-01   5.31331119E-04   7.80166866E-04   9.83986682E-05   2.29826610E-05   0.00000000E+00   1.16610889E-05  
  81               2.43702584E+01   8.88332460E+02   8.38090491E-01   1.60458753E-01   5.31327376E-04   7.80170811E-04   9.28670429E-05   2.29825277E-05   0.00000000E+00   1.44265513E-05  
  82               2.79074244E+01   9.24450318E+02   8.38094207E-01   1.60457839E-01   5.31322705E-04   7.80178892E-04   8.72010519E-05   2.29846492E-05   0.00000000E+00   1.72591999E-05  
  83               3.18967914E+01   9.61246538E+02   8.38097759E-01   1.60456945E-01   5.31316069E-04   7.80189783E-04   8.17100483E-05   2.30018540E-05   0.00000000E+00   2.00043620E-05  
  84               3.63889714E+01   9.98938843E+02   8.38101012E-01   1.60456074E-01   5.31305341E-04   7.80202308E-04   7.64811892E-05   2.30501089E-05   0.00000000E+00   2.26184595E-05  
  85               4.14296607E+01   1.03720429E+03   8.38103677E-01   1.60455226E-01   5.31286846E-04   7.80211677E-04   7.16874444E-05   2.31784175E-05   0.00000000E+00   2.50150067E-05  
  86               4.70528264E+01   1.07612280E+03   8.38105329E-01   1.60454337E-01   5.31253970E-04   7.80208837E-04   6.73244697E-05   2.34973449E-05   0.00000000E+00   2.71961490E-05  
  87               5.32809055E+01   1.11522420E+03   8.38106472E-01   1.60453578E-01   5.31197970E-04   7.80175578E-04   6.34793522E-05   2.42846430E-05   0.00000000E+00   2.91184029E-05  
  88               6.01362315E+01   1.15460601E+03   8.38108741E-01   1.60452995E-01   5.31104545E-04   7.80182060E-04   6.00796982E-05   2.42844568E-05   0.00000000E+00   3.08179755E-05  
  89               6.76816056E+01   1.19406287E+03   8.38110763E-01   1.60452465E-01   5.30954476E-04   7.80145672E-04   5.71382162E-05   2.42842211E-05   0.00000000E+00   3.22884538E-05  
  90               7.60043944E+01   1.23402732E+03   8.38112641E-01   1.60451963E-01   5.30718580E-04   7.80038698E-04   5.45492411E-05   2.42839026E-05   0.00000000E+00   3.35826390E-05  
  91               8.51714647E+01   1.27419754E+03   8.38114402E-01   1.60451480E-01   5.30364369E-04   7.79826534E-04   5.23293080E-05   2.42834649E-05   0.00000000E+00   3.46922302E-05  
  92               9.52314813E+01   1.31478675E+03   8.38116150E-01   1.60450986E-01   5.29845333E-04   7.79461825E-04   5.03970201E-05   2.42828525E-05   0.00000000E+00   3.56578675E-05  
  93               1.06218201E+02   1.35534053E+03   8.38117918E-01   1.60450472E-01   5.29120526E-04   7.78899188E-04   4.87714938E-05   2.42820084E-05   0.00000000E+00   3.64699295E-05  
  94               1.18158272E+02   1.39606073E+03   8.38119813E-01   1.60449904E-01   5.28130537E-04   7.78077924E-04   4.73775641E-05   2.42808421E-05   0.00000000E+00   3.71658992E-05  
  95               1.31134988E+02   1.43666943E+03   8.38121858E-01   1.60449270E-01   5.26833416E-04   7.76953131E-04   4.62276418E-05   2.42792457E-05   0.00000000E+00   3.77394665E-05  
  96               1.45294384E+02   1.47772986E+03   8.38124160E-01   1.60448526E-01   5.25147509E-04   7.75447227E-04   4.52499300E-05   2.42769961E-05   0.00000000E+00   3.82263559E-05  
  97               1.60736732E+02   1.51889746E+03   8.38126603E-01   1.60447646E-01   5.23040583E-04   7.73533984E-04   4.44658551E-05   2.42737422E-05   0.00000000E+00   3.86156872E-05  
  98               1.77515400E+02   1.56044557E+03   8.38129349E-01   1.60446629E-01   5.20435585E-04   7.71247491E-04   4.38205729E-05   2.42645754E-05   0.00000000E+00   3.89346503E-05  
  99               1.95650074E+02   1.60181209E+03   8.38131795E-01   1.60445341E-01   5.17356497E-04   7.68348403E-04   4.33391993E-05   2.42603336E-05   0.00000000E+00   3.91704600E-05  
  100              2.15140196E+02   1.64323405E+03   8.38134383E-01   1.60443981E-01   5.13735570E-04   7.65628453E-04   4.29708707E-05   2.42234637E-05   0.00000000E+00   3.93483417E-05  
  101              2.35978911E+02   1.68414701E+03   8.38043507E-01   1.60424460E-01   5.09631967E-04   7.61715260E-04   4.27342358E-05   2.42145885E-05   0.00000000E+00   3.94519712E-05  
