# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  92               1.79219699E+02   2.37795145E+03   8.37543245E-01   1.60198118E-01   4.73856916E-04   8.80430547E-05   9.72164837E-04   4.37989053E-04   1.20885501E-05   5.39165662E-05  
  93               1.91896771E+02   2.41663775E+03   8.37400963E-01   1.60184717E-01   4.71549599E-04   8.51368336E-05   1.13007053E-03   4.40386621E-04   1.23698904E-05   5.37041729E-05  
  94               2.06596575E+02   2.46045153E+03   8.37217336E-01   1.60167617E-01   4.69027034E-04   8.19149785E-05   1.33324541E-03   4.42991511E-04   1.26735415E-05   5.34670275E-05  
  95               2.23581341E+02   2.50637426E+03   8.36999733E-01   1.60147853E-01   4.67155272E-04   7.92603062E-05   1.57239415E-03   4.44928221E-04   1.30420219E-05   5.31865676E-05  
  96               2.43158040E+02   2.55701116E+03   8.36725274E-01   1.60123152E-01   4.65326630E-04   7.65173570E-05   1.87330098E-03   4.46810172E-04   1.34456802E-05   5.28720393E-05  
  97               2.65683417E+02   2.60994087E+03   8.36399811E-01   1.60094303E-01   4.64159415E-04   7.43021291E-05   2.22868412E-03   4.48019904E-04   1.39190999E-05   5.25078866E-05  
  98               2.91581708E+02   2.66699375E+03   8.35999242E-01   1.60059036E-01   4.63293398E-04   7.22003334E-05   2.66529094E-03   4.48926464E-04   1.44440215E-05   5.20979744E-05  
  99               3.21351878E+02   2.72598407E+03   8.35531394E-01   1.60018249E-01   4.63215291E-04   7.06800227E-05   3.17388647E-03   4.49053541E-04   1.50526678E-05   5.16275496E-05  
  100              3.55583440E+02   2.78902506E+03   8.34963299E-01   1.59968897E-01   4.63566443E-04   6.93070929E-05   3.79085923E-03   4.48774242E-04   1.57248815E-05   5.10998653E-05  
  101              3.94979802E+02   2.85356446E+03   8.34312053E-01   1.59912694E-01   4.64851426E-04   6.85590955E-05   4.49686439E-03   4.47601353E-04   1.64987168E-05   5.04980118E-05  
