# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                CO               H2S             
  38               3.46481972E-01   2.95787797E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724007E-04   1.88155361E-36   3.87516984E-31   2.29826814E-05  
  39               4.00076706E-01   3.07837900E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724006E-04   5.62655872E-35   7.76045437E-30   2.29826814E-05  
  40               4.62464498E-01   3.21667404E+02   8.38073959E-01   1.60463844E-01   7.81864172E-04   5.31345356E-04   1.21724001E-04   2.04038484E-33   1.87867939E-28   2.29826814E-05  
  41               5.35014915E-01   3.36797941E+02   8.38073959E-01   1.60463844E-01   7.81863757E-04   5.31345356E-04   1.21723983E-04   7.40746916E-32   4.59145388E-27   2.29826814E-05  
  42               6.19336763E-01   3.51916861E+02   8.38073953E-01   1.60463843E-01   7.81863752E-04   5.31345352E-04   1.21723930E-04   1.95972665E-30   8.37117781E-26   2.29826812E-05  
  43               7.17322478E-01   3.68460483E+02   8.38073960E-01   1.60463844E-01   7.81856727E-04   5.31345354E-04   1.21723762E-04   5.19467302E-29   1.54210025E-24   2.29826813E-05  
  44               8.31161222E-01   3.84986438E+02   8.38073960E-01   1.60463844E-01   7.81856727E-04   5.31345354E-04   1.21723315E-04   1.03045143E-27   2.16988280E-23   2.29826813E-05  
  45               9.63366922E-01   4.03064304E+02   8.38073708E-01   1.60463795E-01   7.81856490E-04   5.31345192E-04   1.21721996E-04   2.04676680E-26   3.08280192E-22   2.29826743E-05  
  46               1.11680670E+00   4.21098364E+02   8.38073987E-01   1.60463819E-01   7.81554331E-04   5.31345271E-04   1.21718942E-04   3.10938618E-25   3.40892017E-21   2.29826777E-05  
  47               1.29472193E+00   4.40790135E+02   8.38073989E-01   1.60463817E-01   7.81554918E-04   5.31345265E-04   1.21710997E-04   4.71036872E-24   3.79187762E-20   2.29826775E-05  
  48               1.50081833E+00   4.60402729E+02   8.38073904E-01   1.60463798E-01   7.81570227E-04   5.31345204E-04   1.21693783E-04   5.57313050E-23   3.34577000E-19   2.29826748E-05  
  49               1.73924601E+00   4.81794575E+02   8.38073222E-01   1.60463730E-01   7.81956315E-04   5.31344979E-04   1.21653321E-04   6.56908108E-22   2.96653669E-18   2.29826651E-05  
  50               2.01479455E+00   5.03073795E+02   8.38068918E-01   1.60463177E-01   7.83489520E-04   5.31343148E-04   1.21573335E-04   6.17562206E-21   2.12893662E-17   2.29825859E-05  
  51               2.33328041E+00   5.26282904E+02   8.38072125E-01   1.60463420E-01   7.80124460E-04   5.31343951E-04   1.21402601E-04   5.79479012E-20   1.52672441E-16   2.29826206E-05  
  52               2.70143576E+00   5.49392987E+02   8.38072328E-01   1.60463371E-01   7.80124226E-04   5.31343788E-04   1.21094882E-04   4.44071105E-19   9.07552128E-16   2.29826136E-05  
  53               3.12659194E+00   5.74599603E+02   8.38072729E-01   1.60463274E-01   7.80123771E-04   5.31343466E-04   1.20490063E-04   3.40133275E-18   5.42867609E-15   2.29825997E-05  
  54               3.61722108E+00   5.99669227E+02   8.38073382E-01   1.60463115E-01   7.80123039E-04   5.31342942E-04   1.19502948E-04   2.16355578E-17   2.72014837E-14   2.29825770E-05  
  55               4.18399006E+00   6.27045500E+02   8.38074543E-01   1.60462834E-01   7.80121759E-04   5.31342009E-04   1.17749125E-04   1.38009210E-16   1.37469592E-13   2.29825367E-05  
  56               4.84003831E+00   6.54351737E+02   8.38076230E-01   1.60462425E-01   7.80119949E-04   5.31340653E-04   1.15198269E-04   7.47067544E-16   5.93097640E-13   2.29824780E-05  
  57               5.60164887E+00   6.84312662E+02   8.38078877E-01   1.60461783E-01   7.80117221E-04   5.31338524E-04   1.11198143E-04   4.08743966E-15   2.59669171E-12   2.29823861E-05  
  58               6.48747789E+00   7.14326236E+02   8.38082203E-01   1.60460975E-01   7.80114034E-04   5.31335840E-04   1.06166733E-04   1.93459944E-14   9.86948630E-12   2.29822704E-05  
  59               7.51925520E+00   7.47327475E+02   8.38086663E-01   1.60459889E-01   7.80110249E-04   5.31332213E-04   9.94110801E-05   9.26851789E-14   3.80821527E-11   2.29821148E-05  
  60               8.72362741E+00   7.80463436E+02   8.38091398E-01   1.60458723E-01   7.80107188E-04   5.31328258E-04   9.21936949E-05   3.89134357E-13   1.28994307E-10   2.29819478E-05  
  61               1.01326928E+01   8.16985851E+02   8.38096741E-01   1.60457347E-01   7.80105281E-04   5.31323379E-04   8.38381932E-05   1.65558008E-12   4.43543291E-10   2.29817504E-05  
  62               1.17773605E+01   8.53609236E+02   8.38101656E-01   1.60456061E-01   7.80106106E-04   5.31318207E-04   7.60822780E-05   6.21225864E-12   1.34633786E-09   2.29815656E-05  
  63               1.36842480E+01   8.93561542E+02   8.38106916E-01   1.60454775E-01   7.80112079E-04   5.31311181E-04   6.80940099E-05   2.32630736E-11   4.09113966E-09   2.29813796E-05  
  64               1.58731260E+01   9.32926772E+02   8.38111245E-01   1.60453694E-01   7.80121157E-04   5.31300768E-04   6.14431302E-05   7.60937302E-11   1.08919637E-08   2.29948636E-05  
  65               1.83696292E+01   9.75273811E+02   8.38115275E-01   1.60452629E-01   7.80129826E-04   5.31279379E-04   5.50393251E-05   2.45040146E-10   2.86885688E-08   2.30421570E-05  
  66               2.11977772E+01   1.01648908E+03   8.38117997E-01   1.60451718E-01   7.80126207E-04   5.31238361E-04   5.00224075E-05   6.92903453E-10   6.65868368E-08   2.31825967E-05  
  67               2.43749146E+01   1.06038716E+03   8.38119837E-01   1.60450755E-01   7.80083487E-04   5.31149172E-04   4.53097965E-05   1.92108148E-09   1.52393432E-07   2.36078110E-05  
  68               2.79125178E+01   1.10242490E+03   8.38121084E-01   1.60450024E-01   7.79985468E-04   5.30989480E-04   4.17681310E-05   4.70316195E-09   3.09351072E-07   2.42840891E-05  
  69               3.18261417E+01   1.14686322E+03   8.38123567E-01   1.60449378E-01   7.79805260E-04   5.30675998E-04   3.84348733E-05   1.13018332E-08   6.20111869E-07   2.42838583E-05  
  70               3.61642628E+01   1.18798104E+03   8.38125548E-01   1.60448850E-01   7.79469181E-04   5.30199990E-04   3.61653913E-05   2.38321686E-08   1.09348135E-06   2.42835754E-05  
  71               4.09745355E+01   1.22726899E+03   8.38127372E-01   1.60448353E-01   7.78930996E-04   5.29514881E-04   3.45254754E-05   4.61777100E-08   1.77561381E-06   2.42832022E-05  
  72               4.62960190E+01   1.26566164E+03   8.38129269E-01   1.60447831E-01   7.78129925E-04   5.28559922E-04   3.32766021E-05   8.44390740E-08   2.72685683E-06   2.42826947E-05  
  73               5.21597384E+01   1.30365919E+03   8.38131411E-01   1.60447239E-01   7.76993088E-04   5.27263192E-04   3.22900318E-05   1.47842425E-07   4.01868748E-06   2.42820008E-05  
  74               5.85896824E+01   1.34173406E+03   8.38133976E-01   1.60446529E-01   7.75421316E-04   5.25525812E-04   3.14698678E-05   2.50715518E-07   5.74937872E-06   2.42810480E-05  
  75               6.56192944E+01   1.38009579E+03   8.38137118E-01   1.60445657E-01   7.73305389E-04   5.23239620E-04   3.07728985E-05   4.14109297E-07   8.02633948E-06   2.42797420E-05  
  76               7.33352136E+01   1.41909242E+03   8.38141002E-01   1.60444573E-01   7.70510213E-04   5.20268927E-04   3.01720627E-05   6.70320941E-07   1.09842002E-05   2.42779357E-05  
  77               8.18246581E+01   1.45885287E+03   8.38145755E-01   1.60443228E-01   7.66906443E-04   5.16482221E-04   2.96600032E-05   1.06591287E-06   1.47531195E-05   2.42753951E-05  
  78               9.11493122E+01   1.49964071E+03   8.38151544E-01   1.60441555E-01   7.62325237E-04   5.11700284E-04   2.92099933E-05   1.67149840E-06   1.95103507E-05   2.42716535E-05  
  79               1.01342559E+02   1.54146365E+03   8.38158417E-01   1.60439482E-01   7.56637168E-04   5.05765397E-04   2.88114371E-05   2.58591479E-06   2.54111500E-05   2.42657355E-05  
  80               1.12407186E+02   1.58447771E+03   8.38165815E-01   1.60436800E-01   7.49682344E-04   4.98466119E-04   2.84399205E-05   3.95518275E-06   3.26631425E-05   2.42553043E-05  
  81               1.24313397E+02   1.62862970E+03   8.38174520E-01   1.60433707E-01   7.42079049E-04   4.89599703E-04   2.80849652E-05   5.97908036E-06   4.14658607E-05   2.42001837E-05  
  82               1.37059397E+02   1.67288140E+03   8.38168605E-01   1.60427065E-01   7.32239358E-04   4.79567755E-04   2.78025913E-05   8.84535543E-06   5.14047515E-05   2.41921009E-05  
  83               1.50632500E+02   1.71606244E+03   8.38160516E-01   1.60422754E-01   7.40915291E-04   4.67539564E-04   2.76420921E-05   1.26912170E-05   6.33293272E-05   2.33339952E-05  
  84               1.65076317E+02   1.75916665E+03   8.38170361E-01   1.60418569E-01   7.29816512E-04   4.55940888E-04   2.75405698E-05   1.78670465E-05   7.48014471E-05   2.33286847E-05  
  85               1.80447644E+02   1.80149637E+03   8.38177910E-01   1.60414053E-01   7.18755803E-04   4.44135382E-04   2.75295719E-05   2.45698986E-05   8.64549184E-05   2.33187660E-05  
  86               1.96685201E+02   1.84347331E+03   8.38182421E-01   1.60409155E-01   7.08326370E-04   4.31973552E-04   2.75676593E-05   3.31912298E-05   9.84347231E-05   2.32933158E-05  
  87               2.13634494E+02   1.88418628E+03   8.38180113E-01   1.60403661E-01   7.00215574E-04   4.19885694E-04   2.76718924E-05   4.38176669E-05   1.10312242E-04   2.32384077E-05  
  88               2.31832670E+02   1.92530608E+03   8.38165099E-01   1.60396588E-01   6.96297517E-04   4.07034716E-04   2.78189024E-05   5.72795517E-05   1.22911788E-04   2.31241121E-05  
  89               2.50631325E+02   1.96493007E+03   8.38133844E-01   1.60388046E-01   6.99997804E-04   3.93721723E-04   2.80162138E-05   7.32930932E-05   1.35944527E-04   2.29237866E-05  
  90               2.69668222E+02   2.00287278E+03   8.38080227E-01   1.60377182E-01   7.13838973E-04   3.79421679E-04   2.82355935E-05   9.19107845E-05   1.49940010E-04   2.26232396E-05  
  91               2.90396281E+02   2.04159019E+03   8.38011174E-01   1.60365569E-01   7.39887041E-04   3.63170731E-04   2.85074987E-05   1.14686188E-04   1.65855829E-04   2.22256976E-05  
  92               3.10872929E+02   2.07785240E+03   8.38000163E-01   1.60360584E-01   7.30484915E-04   3.53409224E-04   2.87909725E-05   1.39992277E-04   1.75264272E-04   2.22102579E-05  
  93               3.30200284E+02   2.11016697E+03   8.37986419E-01   1.60355999E-01   7.22571894E-04   3.45143746E-04   2.90781868E-05   1.66137228E-04   1.83181254E-04   2.21945118E-05  
  94               3.51745901E+02   2.14456603E+03   8.37967434E-01   1.60350904E-01   7.14527986E-04   3.36687206E-04   2.94036766E-05   1.98149045E-04   1.91229102E-04   2.21753914E-05  
  95               3.75707411E+02   2.18072976E+03   8.37932251E-01   1.60343439E-01   7.06608618E-04   3.28292847E-04   2.97799508E-05   2.36883462E-04   1.99143339E-04   2.21527557E-05  
  96               3.97427271E+02   2.21196880E+03   8.37905507E-01   1.60338397E-01   7.00168527E-04   3.21396432E-04   3.01252972E-05   2.74980510E-04   2.05591560E-04   2.21313924E-05  
  97               4.16076680E+02   2.23758203E+03   8.37879988E-01   1.60334069E-01   6.95222576E-04   3.16044300E-04   3.04292809E-05   3.09651158E-04   2.10547935E-04   2.21126603E-05  
  98               4.37185249E+02   2.26553588E+03   8.37848241E-01   1.60329119E-01   6.90093827E-04   3.10435453E-04   3.07729816E-05   3.51329412E-04   2.15694381E-04   2.20907517E-05  
  99               4.60989658E+02   2.29567030E+03   8.37807171E-01   1.60323144E-01   6.84945582E-04   3.04721428E-04   3.11652550E-05   4.00998644E-04   2.20871616E-04   2.20655990E-05  
  100              4.87783900E+02   2.32816316E+03   8.37721627E-01   1.60310442E-01   6.84028454E-04   2.98059259E-04   3.16042345E-05   4.60495986E-04   2.26906436E-04   2.20453292E-05  
  101              5.08985964E+02   2.35272595E+03   8.37680700E-01   1.60305481E-01   6.80476452E-04   2.93888305E-04   3.19551532E-05   5.09793614E-04   2.30576705E-04   2.20223946E-05  
