# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  68               6.80621777E-01   1.87504411E+03   8.37895820E-01   1.60184854E-01   7.41290853E-04   5.30310233E-04   3.76497189E-04   4.10932993E-08   6.07001177E-05   6.60617011E-05  
  69               7.13385635E-01   1.89752153E+03   8.37786143E-01   1.60175281E-01   8.60565245E-04   5.30282279E-04   3.76425003E-04   3.80073514E-08   6.06959888E-05   6.60297172E-05  
  70               7.49037693E-01   1.92111445E+03   8.37656299E-01   1.60163948E-01   1.00178635E-03   5.30248212E-04   3.76342435E-04   3.51494729E-08   6.06911189E-05   6.59949973E-05  
  71               7.87843094E-01   1.94561006E+03   8.37502922E-01   1.60150563E-01   1.16861878E-03   5.30207044E-04   3.76246978E-04   3.25253147E-08   6.06853843E-05   6.59573183E-05  
  72               8.30157636E-01   1.97127092E+03   8.37321486E-01   1.60134730E-01   1.36599235E-03   5.30157480E-04   3.76132690E-04   3.01159925E-08   6.06786300E-05   6.59163722E-05  
  73               8.76356506E-01   1.99788712E+03   8.37107648E-01   1.60116071E-01   1.59861472E-03   5.30098251E-04   3.76007163E-04   2.79219276E-08   6.06706984E-05   6.58719094E-05  
  74               9.26729075E-01   2.02563736E+03   8.36855657E-01   1.60094084E-01   1.87273971E-03   5.30027708E-04   3.75868583E-04   2.59238684E-08   6.06613929E-05   6.58235908E-05  
  75               9.81587411E-01   2.05421995E+03   8.36560333E-01   1.60068317E-01   2.19400492E-03   5.29944342E-04   3.75715579E-04   2.41214346E-08   6.06505271E-05   6.57711699E-05  
  76               1.04126942E+00   2.08382687E+03   8.36214857E-01   1.60038176E-01   2.56982795E-03   5.29846193E-04   3.75546011E-04   2.24966030E-08   6.06378680E-05   6.57143080E-05  
  77               1.10614165E+00   2.11413320E+03   8.35813365E-01   1.60003151E-01   3.00658546E-03   5.29731560E-04   3.75358255E-04   2.10462648E-08   6.06232048E-05   6.56527582E-05  
  78               1.17660193E+00   2.14534272E+03   8.35347872E-01   1.59962544E-01   3.51296537E-03   5.29598146E-04   3.75149702E-04   1.97513533E-08   6.06062641E-05   6.55861393E-05  
  79               1.25308250E+00   2.17711051E+03   8.34812098E-01   1.59915808E-01   4.09579735E-03   5.29444130E-04   3.74918503E-04   1.86073059E-08   6.05868185E-05   6.55141954E-05  
  80               1.33605281E+00   2.20966889E+03   8.34197306E-01   1.59862183E-01   4.76458615E-03   5.29266997E-04   3.74661696E-04   1.75963083E-08   6.05645662E-05   6.54365235E-05  
  81               1.42602334E+00   2.24263968E+03   8.33497293E-01   1.59801085E-01   5.52564970E-03   5.29064812E-04   3.74377306E-04   1.67143718E-08   6.05392625E-05   6.53528704E-05  
  82               1.52352094E+00   2.27625730E+03   8.32701811E-01   1.59731757E-01   6.38865270E-03   5.28835062E-04   3.75402653E-04   1.58939664E-08   6.05106442E-05   6.52628395E-05  
  83               1.62911702E+00   2.31009335E+03   8.31807927E-01   1.59653849E-01   7.35868909E-03   5.28576592E-04   3.76403630E-04   1.51851155E-08   6.04785094E-05   6.51662798E-05  
  84               1.74345910E+00   2.34443510E+03   8.30806822E-01   1.59566594E-01   8.44535123E-03   5.28286858E-04   3.77375309E-04   1.45734377E-08   6.04425426E-05   6.50627867E-05  
