# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           N2              
  20               6.95614343E-02   1.35101822E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   1.55075500E-11   1.21819261E-04   2.30008074E-05   0.00000000E+00   4.08909248E-30  
  21               7.32830557E-02   1.36631708E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   1.55644035E-11   1.21819261E-04   2.30008074E-05   6.09720447E-11   8.51191068E-30  
  22               7.76627313E-02   1.39938282E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   7.65364482E-11   1.21819261E-04   2.30008074E-05   0.00000000E+00   4.36066656E-29  
  23               8.28139628E-02   1.42115635E+02   8.38729723E-01   1.60589412E-01   5.31761150E-04   7.69214241E-11   1.21819261E-04   2.30008074E-05   4.12864026E-10   1.16325398E-28  
  24               8.88693538E-02   1.46174704E+02   8.38729723E-01   1.60589412E-01   5.31761150E-04   4.89785451E-10   1.21819261E-04   2.30008074E-05   0.00000000E+00   7.34558145E-28  
  25               9.59838921E-02   1.49083177E+02   8.38729720E-01   1.60589412E-01   5.31761149E-04   4.92951561E-10   1.21819260E-04   2.30008073E-05   3.39548365E-09   2.44856568E-27  
  26               1.04338165E-01   1.53998530E+02   8.38729720E-01   1.60589412E-01   5.31761149E-04   3.88843521E-09   1.21819260E-04   2.30008073E-05   0.00000000E+00   1.83955312E-26  
  27               1.14142475E-01   1.57728635E+02   8.38729698E-01   1.60589408E-01   5.31761135E-04   3.91296884E-09   1.21819257E-04   2.30008067E-05   2.63119855E-08   7.38988097E-26  
  28               1.25642479E-01   1.63607891E+02   8.38729698E-01   1.60589408E-01   5.31761135E-04   3.02249543E-08   1.21819257E-04   2.30008067E-05   0.00000000E+00   6.30707462E-25  
  29               1.39125908E-01   1.67428382E+02   8.38729595E-01   1.60589388E-01   5.31761070E-04   3.03387717E-08   1.21819242E-04   2.30008039E-05   1.22090077E-07   2.15854772E-24  
  30               1.54931013E-01   1.72077511E+02   8.38729595E-01   1.60589388E-01   5.31761070E-04   1.52428849E-07   1.21819242E-04   2.30008039E-05   0.00000000E+00   9.18650605E-24  
  31               1.73452223E-01   1.76286114E+02   8.38729197E-01   1.60589312E-01   5.31760817E-04   1.52871016E-07   1.21819184E-04   2.30007929E-05   4.74656348E-07   3.07470571E-23  
  32               1.95154504E-01   1.80453958E+02   8.38729197E-01   1.60589312E-01   5.31760817E-04   6.27527364E-07   1.21819184E-04   2.30007929E-05   0.00000000E+00   9.43870529E-23  
  33               2.20580734E-01   1.85099021E+02   8.38727385E-01   1.60588965E-01   5.31759668E-04   6.29531393E-07   1.21818921E-04   2.30007433E-05   2.15834492E-06   3.13216701E-22  
  34               2.50360300E-01   1.89597382E+02   8.38727385E-01   1.60588965E-01   5.31759668E-04   2.78787632E-06   1.21818921E-04   2.30007433E-05   0.00000000E+00   9.23782918E-22  
  35               2.85208565E-01   1.95406312E+02   8.38717509E-01   1.60587074E-01   5.31753407E-04   2.79860893E-06   1.21817487E-04   2.30004724E-05   1.17642276E-05   3.66081883E-21  
  36               3.25947974E-01   2.00401365E+02   8.38717509E-01   1.60587074E-01   5.31753407E-04   1.45628365E-05   1.21817487E-04   2.30004724E-05   0.00000000E+00   1.06655211E-20  
  37               3.73497526E-01   2.08122950E+02   8.38691293E-01   1.60582054E-01   5.31736786E-04   1.45897964E-05   1.21813679E-04   2.29997535E-05   3.12295473E-05   5.68888402E-20  
  38               4.28895192E-01   2.17582636E+02   8.38613625E-01   1.60567183E-01   5.31687544E-04   4.58861229E-05   1.21802398E-04   2.29976236E-05   9.25354397E-05   3.92000766E-19  
  39               4.92804535E-01   2.27591142E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   1.38333033E-04   1.21724008E-04   2.29828226E-05   6.43586956E-04   2.53908361E-18  
  40               5.63533309E-01   2.37553137E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   1.39078626E-17  
  41               6.38887646E-01   2.47343265E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   6.47224620E-17  
  42               7.26885456E-01   2.57670666E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   2.87372184E-16  
  43               8.29620700E-01   2.68775063E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   1.25690926E-15  
  44               9.49505361E-01   2.80419105E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   5.18126192E-15  
  45               1.08929857E+00   2.92786740E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   2.05839845E-14  
  46               1.25221069E+00   3.05764855E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919989E-04   1.21724008E-04   2.29828226E-05   0.00000000E+00   7.72950788E-14  
  47               1.44190822E+00   3.19436337E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919970E-04   1.21724007E-04   2.29828226E-05   0.00000000E+00   2.76478785E-13  
  48               1.66254037E+00   3.33781551E+02   8.38073903E-01   1.60463844E-01   5.31345356E-04   7.81919917E-04   1.21724006E-04   2.29828226E-05   0.00000000E+00   9.37758290E-13  
  49               1.91888520E+00   3.48792437E+02   8.38073904E-01   1.60463844E-01   5.31345356E-04   7.81919433E-04   1.21724002E-04   2.29828226E-05   0.00000000E+00   3.01034252E-12  
  50               2.21667263E+00   3.64538693E+02   8.38073890E-01   1.60463842E-01   5.31345347E-04   7.81919420E-04   1.21723987E-04   2.29828222E-05   0.00000000E+00   9.19663425E-12  
  51               2.56240374E+00   3.80968644E+02   8.38073905E-01   1.60463843E-01   5.31345352E-04   7.81903470E-04   1.21723954E-04   2.29828224E-05   0.00000000E+00   2.65984666E-11  
  52               2.96322811E+00   3.98181549E+02   8.38073905E-01   1.60463843E-01   5.31345352E-04   7.81903470E-04   1.21723860E-04   2.29828224E-05   0.00000000E+00   7.34095831E-11  
  53               3.42685389E+00   4.16068356E+02   8.38073905E-01   1.60463843E-01   5.31345351E-04   7.81903472E-04   1.21723623E-04   2.29828224E-05   0.00000000E+00   1.91860142E-10  
  54               3.96186622E+00   4.34735951E+02   8.38073531E-01   1.60463771E-01   5.31345114E-04   7.81903185E-04   1.21722994E-04   2.29828121E-05   0.00000000E+00   4.78906670E-10  
  55               4.57855746E+00   4.54088339E+02   8.38073932E-01   1.60463805E-01   5.31345226E-04   7.81458759E-04   1.21721707E-04   2.29828170E-05   0.00000000E+00   1.13563649E-09  
  56               5.28790959E+00   4.74243405E+02   8.38073496E-01   1.60463729E-01   5.31344973E-04   7.81498477E-04   1.21718761E-04   2.29828060E-05   0.00000000E+00   2.57960295E-09  
  57               6.10130815E+00   4.95064322E+02   8.38071604E-01   1.60463728E-01   5.31344970E-04   7.83394902E-04   1.21712757E-04   2.29828059E-05   0.00000000E+00   5.58096501E-09  
  58               7.03105669E+00   5.16644551E+02   8.38071612E-01   1.60463726E-01   5.31344963E-04   7.83394893E-04   1.21700758E-04   2.29828056E-05   0.00000000E+00   1.15796915E-08  
  59               8.09247288E+00   5.38887150E+02   8.38068934E-01   1.60463206E-01   5.31343244E-04   7.83392358E-04   1.21677576E-04   2.29827312E-05   0.00000000E+00   2.29737897E-08  
  60               9.30501968E+00   5.61969976E+02   8.38071915E-01   1.60463458E-01   5.31344075E-04   7.80180414E-04   1.21635809E-04   2.29827672E-05   0.00000000E+00   4.39528474E-08  
  61               1.06881325E+01   5.85782752E+02   8.38071964E-01   1.60463446E-01   5.31344036E-04   7.80180369E-04   1.21562079E-04   2.29827655E-05   0.00000000E+00   8.08132649E-08  
  62               1.22603574E+01   6.10411524E+02   8.38072047E-01   1.60463426E-01   5.31343969E-04   7.80180300E-04   1.21436717E-04   2.29827626E-05   0.00000000E+00   1.43486660E-07  
  63               1.40403199E+01   6.35677848E+02   8.38072181E-01   1.60463393E-01   5.31343861E-04   7.80180201E-04   1.21233696E-04   2.29827579E-05   0.00000000E+00   2.44984899E-07  
  64               1.60503957E+01   6.61699953E+02   8.38072391E-01   1.60463342E-01   5.31343690E-04   7.80180069E-04   1.20914960E-04   2.29827506E-05   0.00000000E+00   4.04333153E-07  
  65               1.83229258E+01   6.88416681E+02   8.38072708E-01   1.60463265E-01   5.31343434E-04   7.80179917E-04   1.20435605E-04   2.29827396E-05   0.00000000E+00   6.43981793E-07  
  66               2.08908282E+01   7.16001559E+02   8.38073171E-01   1.60463152E-01   5.31343059E-04   7.80179776E-04   1.19734411E-04   2.29827234E-05   0.00000000E+00   9.94535617E-07  
  67               2.37871185E+01   7.44292072E+02   8.38073816E-01   1.60462995E-01   5.31342533E-04   7.80179725E-04   1.18756131E-04   2.29827009E-05   0.00000000E+00   1.48361615E-06  
  68               2.70458412E+01   7.73426688E+02   8.38074684E-01   1.60462781E-01   5.31341816E-04   7.80179902E-04   1.17432223E-04   2.29826702E-05   0.00000000E+00   2.14548921E-06  
  69               3.07077516E+01   8.03244743E+02   8.38075755E-01   1.60462496E-01   5.31340851E-04   7.80180499E-04   1.15726609E-04   2.29826294E-05   0.00000000E+00   2.99818813E-06  
  70               3.48367384E+01   8.34070473E+02   8.38077155E-01   1.60462149E-01   5.31339649E-04   7.80181853E-04   1.13583013E-04   2.29825794E-05   0.00000000E+00   4.06985445E-06  
  71               3.95017121E+01   8.65807365E+02   8.38078683E-01   1.60461705E-01   5.31338053E-04   7.80184465E-04   1.11014020E-04   2.29825153E-05   0.00000000E+00   5.35418218E-06  
  72               4.47619164E+01   8.98630827E+02   8.38080457E-01   1.60461186E-01   5.31336054E-04   7.80188512E-04   1.08022474E-04   2.29824400E-05   0.00000000E+00   6.84975854E-06  
  73               5.06616685E+01   9.32178309E+02   8.38082614E-01   1.60460653E-01   5.31333679E-04   7.80196362E-04   1.04724594E-04   2.29823618E-05   0.00000000E+00   8.49849622E-06  
  74               5.72333318E+01   9.66505513E+02   8.38084901E-01   1.60460078E-01   5.31330492E-04   7.80206356E-04   1.01186333E-04   2.29942359E-05   0.00000000E+00   1.02674084E-05  
  75               6.45149015E+01   1.00121715E+03   8.38087165E-01   1.60459480E-01   5.31325987E-04   7.80218512E-04   9.75767244E-05   2.30234225E-05   0.00000000E+00   1.20719853E-05  
  76               7.25934438E+01   1.03667645E+03   8.38089297E-01   1.60458854E-01   5.31319078E-04   7.80231190E-04   9.39267662E-05   2.30952388E-05   0.00000000E+00   1.38967253E-05  
  77               8.15488536E+01   1.07260494E+03   8.38091020E-01   1.60458195E-01   5.31308124E-04   7.80240811E-04   9.03811848E-05   2.32620158E-05   0.00000000E+00   1.56692630E-05  
  78               9.14424368E+01   1.10921112E+03   8.38092065E-01   1.60457476E-01   5.31290305E-04   7.80241547E-04   8.69517288E-05   2.36304484E-05   0.00000000E+00   1.73837117E-05  
  79               1.02320923E+02   1.14605914E+03   8.38092984E-01   1.60456852E-01   5.31262515E-04   7.80232325E-04   8.37612042E-05   2.42851159E-05   0.00000000E+00   1.89787247E-05  
  80               1.14237165E+02   1.18339742E+03   8.38094922E-01   1.60456353E-01   5.31219123E-04   7.80277492E-04   8.07749762E-05   2.42849401E-05   0.00000000E+00   2.04716252E-05  
  81               1.27252286E+02   1.22077647E+03   8.38096678E-01   1.60455892E-01   5.31153371E-04   7.80310455E-04   7.80866448E-05   2.42847188E-05   0.00000000E+00   2.18155739E-05  
  82               1.41499093E+02   1.25873720E+03   8.38098316E-01   1.60455454E-01   5.31054404E-04   7.80322288E-04   7.56109635E-05   2.42844250E-05   0.00000000E+00   2.30531749E-05  
  83               1.57113858E+02   1.29694189E+03   8.38099800E-01   1.60455044E-01   5.30911361E-04   7.80300560E-04   7.34164447E-05   2.42840328E-05   0.00000000E+00   2.41501578E-05  
  84               1.74199863E+02   1.33576567E+03   8.38101192E-01   1.60454645E-01   5.30706808E-04   7.80228427E-04   7.14286427E-05   2.42834971E-05   0.00000000E+00   2.51437111E-05  
  85               1.92835228E+02   1.37473872E+03   8.38102466E-01   1.60454259E-01   5.30426516E-04   7.80088448E-04   6.97032717E-05   2.42827752E-05   0.00000000E+00   2.60059465E-05  
  86               2.13111530E+02   1.41415087E+03   8.38103676E-01   1.60453869E-01   5.30047297E-04   7.79857370E-04   6.81760035E-05   2.42817925E-05   0.00000000E+00   2.67689698E-05  
  87               2.35157401E+02   1.45367446E+03   8.38104800E-01   1.60453473E-01   5.29552907E-04   7.79516612E-04   6.68807873E-05   2.42804634E-05   0.00000000E+00   2.74157496E-05  
  88               2.59083384E+02   1.49358914E+03   8.38105853E-01   1.60453044E-01   5.28915334E-04   7.79040659E-04   6.57611069E-05   2.42786210E-05   0.00000000E+00   2.79744494E-05  
  89               2.85127712E+02   1.53374678E+03   8.38106828E-01   1.60452588E-01   5.28116987E-04   7.78444463E-04   6.48383994E-05   2.42746884E-05   0.00000000E+00   2.84342604E-05  
  90               3.13498501E+02   1.57449301E+03   8.38107589E-01   1.60452041E-01   5.27123784E-04   7.77625234E-04   6.40649864E-05   2.42719748E-05   0.00000000E+00   2.88188583E-05  
  91               3.44312483E+02   1.61544898E+03   8.38108175E-01   1.60451466E-01   5.25926992E-04   7.76832518E-04   6.34649774E-05   2.42578436E-05   0.00000000E+00   2.91160884E-05  
  92               3.77604292E+02   1.65670917E+03   8.38091632E-01   1.60447517E-01   5.24493614E-04   7.75557042E-04   6.29983382E-05   2.42534157E-05   0.00000000E+00   2.93445239E-05  
  93               4.13290062E+02   1.69771547E+03   8.38071621E-01   1.60446686E-01   5.22638488E-04   7.95255157E-04   6.26846631E-05   2.34036921E-05   0.00000000E+00   2.94967219E-05  
  94               4.51353023E+02   1.73858762E+03   8.38071706E-01   1.60445842E-01   5.20739152E-04   7.93511067E-04   6.24893345E-05   2.34188052E-05   0.00000000E+00   2.95886114E-05  
  95               4.91848414E+02   1.77902259E+03   8.38071013E-01   1.60444857E-01   5.18645853E-04   7.91604771E-04   6.24221007E-05   2.34307164E-05   0.00000000E+00   2.96151711E-05  
  96               5.34374197E+02   1.81882150E+03   8.38069020E-01   1.60443687E-01   5.16370186E-04   7.89775480E-04   6.24488661E-05   2.34355772E-05   0.00000000E+00   2.95933229E-05  
  97               5.79049897E+02   1.85783718E+03   8.38066241E-01   1.60442447E-01   5.13958917E-04   7.87935139E-04   6.25786886E-05   2.34384320E-05   0.00000000E+00   2.95185403E-05  
  98               6.26775419E+02   1.89708624E+03   8.38060829E-01   1.60440861E-01   5.11336971E-04   7.86484324E-04   6.27804506E-05   2.34327308E-05   0.00000000E+00   2.94058694E-05  
  99               6.78035893E+02   1.93645846E+03   8.38051685E-01   1.60438914E-01   5.08528129E-04   7.86162783E-04   6.30770384E-05   2.34113345E-05   0.00000000E+00   2.92437561E-05  
  100              7.33453610E+02   1.97660515E+03   8.38035145E-01   1.60436186E-01   5.05415977E-04   7.88343191E-04   6.34386019E-05   2.33600282E-05   0.00000000E+00   2.90464783E-05  
  101              7.94675277E+02   2.01795666E+03   8.37940233E-01   1.60419665E-01   5.01866459E-04   7.95535737E-04   6.38985706E-05   2.32538401E-05   0.00000000E+00   2.87920234E-05  
