# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  91               1.10203096E+00   4.49583861E+03   8.39724207E-01   6.65913857E-02   9.29164601E-02   3.00954940E-04   3.41726510E-06   2.21307476E-04   3.84141459E-05   3.21711035E-05  
  92               1.21597369E+00   4.55988465E+03   8.44290034E-01   6.23919430E-02   9.25501653E-02   2.97497985E-04   2.95983960E-06   2.24859481E-04   3.82550112E-05   3.20428662E-05  
  93               1.33904383E+00   4.63280993E+03   8.49722529E-01   5.73947541E-02   9.21142343E-02   2.92633755E-04   2.47479012E-06   2.29700206E-04   3.80700728E-05   3.18909095E-05  
  94               1.47154263E+00   4.70182626E+03   8.54075788E-01   5.33890842E-02   9.17646899E-02   2.87376456E-04   2.12601806E-06   2.34774385E-04   3.79195486E-05   3.17686858E-05  
  95               1.61371379E+00   4.77945966E+03   8.59023977E-01   4.88348000E-02   9.13671625E-02   2.80048597E-04   1.77377355E-06   2.41762859E-04   3.77521030E-05   3.16302399E-05  
  96               1.76578335E+00   4.85404855E+03   8.63104307E-01   4.50773137E-02   9.10390027E-02   2.71827224E-04   1.51568392E-06   2.49520160E-04   3.76123648E-05   3.15156794E-05  
  97               1.92793710E+00   4.93688645E+03   8.67539585E-01   4.09910280E-02   9.06819418E-02   2.60734914E-04   1.26606038E-06   2.59982805E-04   3.74634040E-05   3.13914866E-05  
  98               2.10033248E+00   5.01714793E+03   8.71240198E-01   3.75787685E-02   9.03835090E-02   2.48378140E-04   1.08100834E-06   2.71630354E-04   3.73378732E-05   3.12874839E-05  
  99               2.28308981E+00   5.10509744E+03   8.75101868E-01   3.40153577E-02   9.00715992E-02   2.32614839E-04   9.07130032E-07   2.86553539E-04   3.72091815E-05   3.11791531E-05  
  100              2.47617723E+00   5.19164460E+03   8.78399073E-01   3.09693434E-02   8.98046444E-02   2.15457362E-04   7.73265868E-07   3.02848025E-04   3.70986286E-05   3.10863296E-05  
  101              2.67939209E+00   5.28594169E+03   8.81754798E-01   2.78662170E-02   8.95323874E-02   1.94871728E-04   6.47920748E-07   3.22507326E-04   3.69881568E-05   3.09919961E-05  
