# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  74               2.01173612E+00   6.29400293E+02   8.38081914E-01   1.60461038E-01   5.31336063E-04   7.80147192E-04   1.06558817E-04   2.29822521E-05   7.58153107E-06   0.00000000E+00  
  75               2.29831412E+00   6.54890437E+02   8.38086451E-01   1.60459938E-01   5.31332418E-04   7.80142095E-04   9.97027757E-05   2.29820946E-05   1.10091345E-05   0.00000000E+00  
  76               2.63306652E+00   6.82039870E+02   8.38091922E-01   1.60458611E-01   5.31328016E-04   7.80136142E-04   9.14344159E-05   2.29819045E-05   1.51428112E-05   0.00000000E+00  
  77               3.02541064E+00   7.10809468E+02   8.38097943E-01   1.60457150E-01   5.31323146E-04   7.80129988E-04   8.23288396E-05   2.29816951E-05   1.96950448E-05   0.00000000E+00  
  78               3.48504176E+00   7.41402774E+02   8.38104137E-01   1.60455640E-01   5.31318050E-04   7.80124421E-04   7.29429834E-05   2.29814789E-05   2.43874005E-05   0.00000000E+00  
  79               4.02155128E+00   7.73567459E+02   8.38110019E-01   1.60454189E-01   5.31312925E-04   7.80120461E-04   6.39662910E-05   2.29812709E-05   2.88751961E-05   0.00000000E+00  
  80               4.64518594E+00   8.07399039E+02   8.38115288E-01   1.60452831E-01   5.31307440E-04   7.80118893E-04   5.57256545E-05   2.29810762E-05   3.29949995E-05   0.00000000E+00  
  81               5.36511583E+00   8.42502310E+02   8.38119857E-01   1.60451639E-01   5.31300621E-04   7.80120152E-04   4.85271909E-05   2.29809047E-05   3.65937787E-05   0.00000000E+00  
  82               6.18831387E+00   8.78794195E+02   8.38123915E-01   1.60450642E-01   5.31289529E-04   7.80124147E-04   4.23593860E-05   2.29823129E-05   3.96773030E-05   0.00000000E+00  
  83               7.11930369E+00   9.15712382E+02   8.38127242E-01   1.60449803E-01   5.31267345E-04   7.80125144E-04   3.72406394E-05   2.29971133E-05   4.22363570E-05   0.00000000E+00  
