# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  53               4.95652686E-01   1.42951363E+03   8.38828712E-01   1.60272101E-01   9.37026203E-06   2.56664403E-04   5.27642014E-04   2.98470122E-06   6.06702865E-05   7.35992939E-08  
  54               5.65237827E-01   1.47291176E+03   8.38806902E-01   1.60268678E-01   1.53103905E-05   2.59615289E-04   5.28433112E-04   2.18513396E-06   6.06691837E-05   2.29627468E-07  
  55               6.38415941E-01   1.51263720E+03   8.38781552E-01   1.60267474E-01   2.33278688E-05   2.77670622E-04   5.29012361E-04   1.60090216E-06   6.06682417E-05   4.27799448E-07  
  56               7.14269439E-01   1.55950572E+03   8.38761700E-01   1.60265336E-01   3.77529271E-05   2.80033164E-04   5.29454535E-04   1.15418284E-06   6.06691735E-05   2.27659925E-06  
  57               7.91119391E-01   1.60295240E+03   8.38719390E-01   1.60260866E-01   5.74320457E-05   2.89882820E-04   5.29744098E-04   8.50380595E-07   6.06686423E-05   8.86457883E-06  
  58               8.65411535E-01   1.64198057E+03   8.38650607E-01   1.60254404E-01   8.20695398E-05   3.13336077E-04   5.29943627E-04   6.27589280E-07   6.06672152E-05   2.42138975E-05  
  59               9.32778185E-01   1.67492952E+03   8.38551425E-01   1.60244910E-01   1.09393524E-04   3.49887981E-04   5.30065294E-04   4.70498011E-07   6.06645046E-05   4.80734998E-05  
  60               9.89451607E-01   1.70131418E+03   8.38483980E-01   1.60239802E-01   1.36550238E-04   3.77389393E-04   5.30135018E-04   3.81037193E-07   6.06630491E-05   6.60477621E-05  
  61               1.03740652E+00   1.72253425E+03   8.38460325E-01   1.60237722E-01   1.62324384E-04   3.77298923E-04   5.30166351E-04   3.43766065E-07   6.06620527E-05   6.60156014E-05  
  62               1.09107534E+00   1.74551429E+03   8.38430513E-01   1.60235105E-01   1.94793463E-04   3.77205679E-04   5.30193655E-04   3.08688133E-07   6.06607633E-05   6.59798854E-05  
  63               1.15094411E+00   1.76988427E+03   8.38360954E-01   1.60225633E-01   2.34982076E-04   3.77097059E-04   5.30194767E-04   2.76991202E-07   6.06566860E-05   6.59380729E-05  
  64               1.19827479E+00   1.78857567E+03   8.38328420E-01   1.60222789E-01   2.70388319E-04   3.77027545E-04   5.30207264E-04   2.55574712E-07   6.06551900E-05   6.59072708E-05  
  65               1.23295899E+00   1.80173344E+03   8.38303181E-01   1.60220581E-01   2.97851582E-04   3.76982303E-04   5.30213737E-04   2.42081029E-07   6.06539736E-05   6.58849721E-05  
  66               1.27226248E+00   1.81648108E+03   8.38272319E-01   1.60217883E-01   3.31437265E-04   3.76927941E-04   5.30219191E-04   2.27972508E-07   6.06525334E-05   6.58597129E-05  
  67               1.31666785E+00   1.83250257E+03   8.38235614E-01   1.60214674E-01   3.71370554E-04   3.76872985E-04   5.30222625E-04   2.14151937E-07   6.06507666E-05   6.58315262E-05  
  68               1.36661916E+00   1.85020155E+03   8.38190774E-01   1.60210756E-01   4.20148603E-04   3.76814033E-04   5.30223877E-04   2.00125459E-07   6.06486640E-05   6.57998975E-05  
  69               1.42257637E+00   1.86919929E+03   8.38137395E-01   1.60206093E-01   4.78206551E-04   3.76753730E-04   5.30221968E-04   1.86715670E-07   6.06461152E-05   6.57649179E-05  
