# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  57               2.12968449E-01   1.66332825E+03   8.38389589E-01   1.60227905E-01   2.04464795E-04   5.30460711E-04   3.77053552E-04   6.07457865E-05   6.64534413E-05   5.03648687E-05  
  58               2.23988644E-01   1.68559955E+03   8.38350195E-01   1.60224464E-01   2.47317222E-04   5.30453976E-04   3.76978834E-04   6.07444764E-05   6.64366015E-05   5.04286291E-05  
  59               2.32985491E-01   1.70308211E+03   8.38314569E-01   1.60221351E-01   2.86071295E-04   5.30446946E-04   3.76919536E-04   6.07432688E-05   6.64228933E-05   5.04782856E-05  
  60               2.43091967E-01   1.72206067E+03   8.38270653E-01   1.60217515E-01   3.33842067E-04   5.30437473E-04   3.76854472E-04   6.07417646E-05   6.64075194E-05   5.05318605E-05  
  61               2.54404225E-01   1.74249532E+03   8.38216615E-01   1.60212795E-01   3.92621606E-04   5.30424986E-04   3.76783686E-04   6.07398967E-05   6.63903480E-05   5.05892115E-05  
  62               2.67017035E-01   1.76441150E+03   8.38149964E-01   1.60206974E-01   4.65116762E-04   5.30408745E-04   3.76707182E-04   6.07375811E-05   6.63712065E-05   5.06504061E-05  
  63               2.81017595E-01   1.78770486E+03   8.38068116E-01   1.60199826E-01   5.54135998E-04   5.30387967E-04   3.76625941E-04   6.07347256E-05   6.63499695E-05   5.07151459E-05  
  64               2.96472829E-01   1.81234982E+03   8.37967616E-01   1.60191050E-01   6.63429444E-04   5.30361643E-04   3.76541629E-04   6.07312159E-05   6.63264746E-05   5.07833869E-05  
  65               3.13406250E-01   1.83810766E+03   8.37845452E-01   1.60180382E-01   7.96259425E-04   5.30328867E-04   3.76458606E-04   6.07269457E-05   6.63006833E-05   5.08544779E-05  
  66               3.31725461E-01   1.86469642E+03   8.37698690E-01   1.60167570E-01   9.55819045E-04   5.30288780E-04   3.76392130E-04   6.07218212E-05   6.62726695E-05   5.09277407E-05  
  67               3.51602563E-01   1.89210242E+03   8.37522976E-01   1.60152232E-01   1.14697083E-03   5.30240134E-04   3.76267148E-04   6.07156887E-05   6.62421709E-05   5.10025356E-05  
  68               3.73554685E-01   1.92085667E+03   8.37308558E-01   1.60133516E-01   1.38022764E-03   5.30180152E-04   3.76127763E-04   6.07082181E-05   6.62082950E-05   5.10805745E-05  
  69               3.97753424E-01   1.95081077E+03   8.37048677E-01   1.60110835E-01   1.66294053E-03   5.30106868E-04   3.75972456E-04   6.06991759E-05   6.61707574E-05   5.11612452E-05  
  70               4.24385999E-01   1.98195593E+03   8.36734207E-01   1.60083392E-01   2.00503885E-03   5.30017648E-04   3.75798544E-04   6.06882567E-05   6.61291387E-05   5.12442672E-05  
  71               4.53658043E-01   2.01411049E+03   8.36356990E-01   1.60050475E-01   2.41539562E-03   5.29910125E-04   3.75604072E-04   6.06751788E-05   6.60831169E-05   5.13287297E-05  
  72               4.85796156E-01   2.04725758E+03   8.35905896E-01   1.60011115E-01   2.90612032E-03   5.29781090E-04   3.75385616E-04   6.06595687E-05   6.60322015E-05   5.14140889E-05  
  73               5.21052498E-01   2.08119963E+03   8.35371894E-01   1.59964524E-01   3.48703592E-03   5.29627928E-04   3.75140814E-04   6.06411137E-05   6.59760445E-05   5.14991209E-05  
  74               5.59705431E-01   2.11594501E+03   8.34741791E-01   1.59909553E-01   4.17249238E-03   5.29446836E-04   3.74865333E-04   6.06193707E-05   6.59140688E-05   5.15830647E-05  
  75               6.02061641E-01   2.15127881E+03   8.34006763E-01   1.59845432E-01   4.97209021E-03   5.29235259E-04   3.74556698E-04   6.05940304E-05   6.58459419E-05   5.16643729E-05  
  76               6.48458289E-01   2.18723237E+03   8.33152182E-01   1.59770886E-01   5.90173991E-03   5.28988983E-04   3.74209820E-04   6.05645992E-05   6.57710265E-05   5.17420665E-05  
  77               6.99265976E-01   2.22356994E+03   8.32171214E-01   1.59685321E-01   6.96887467E-03   5.28706025E-04   3.73822633E-04   6.05308290E-05   6.56890733E-05   5.18143428E-05  
  78               7.54891068E-01   2.26034422E+03   8.31048862E-01   1.59587429E-01   8.18980824E-03   5.28382062E-04   3.73389556E-04   6.04922087E-05   6.55994248E-05   5.18800729E-05  
  79               8.15779456E-01   2.29728055E+03   8.29781486E-01   1.59476688E-01   9.56635218E-03   5.28015355E-04   3.72909029E-04   6.04485105E-05   6.55018836E-05   5.19372035E-05  
  80               8.82306825E-01   2.33436104E+03   8.28354505E-01   1.59352690E-01   1.11090606E-02   5.27604085E-04   3.79134581E-04   6.03996635E-05   6.53962601E-05   5.20165754E-05  
  81               9.55009319E-01   2.37135236E+03   8.26787385E-01   1.59216024E-01   1.28137791E-02   5.27151149E-04   3.78583887E-04   6.03456503E-05   6.52827936E-05   5.20517984E-05  
  82               1.03458941E+00   2.40847589E+03   8.25053601E-01   1.59064830E-01   1.46998002E-02   5.26649896E-04   3.77967324E-04   6.02858251E-05   6.51604626E-05   5.20748387E-05  
  83               1.12167838E+00   2.44546671E+03   8.23163947E-01   1.58900049E-01   1.67553794E-02   5.26103429E-04   3.77288678E-04   6.02204915E-05   6.50296781E-05   5.20842794E-05  
  84               1.21695748E+00   2.48246320E+03   8.21106184E-01   1.58720615E-01   1.89938267E-02   5.25508209E-04   3.76543033E-04   6.01491887E-05   6.48898580E-05   5.20791728E-05  
  85               1.32115524E+00   2.51922300E+03   8.18897267E-01   1.58528006E-01   2.13966966E-02   5.24869114E-04   3.75735676E-04   6.00724020E-05   6.47416361E-05   5.20584866E-05  
  86               1.43508037E+00   2.55597504E+03   8.16519289E-01   1.58320661E-01   2.39834671E-02   5.24180966E-04   3.74858916E-04   5.99894482E-05   6.45841881E-05   5.20212231E-05  
  87               1.55960125E+00   2.59240273E+03   8.14002739E-01   1.58101239E-01   2.67209694E-02   5.23452544E-04   3.73922669E-04   5.99012224E-05   6.44186599E-05   5.19667251E-05  
  88               1.69564588E+00   2.62877164E+03   8.11326593E-01   1.57867906E-01   2.96320711E-02   5.22677765E-04   3.72917727E-04   5.98068815E-05   6.42441128E-05   5.18938184E-05  
  89               1.84420686E+00   2.66478069E+03   8.08527555E-01   1.57623863E-01   3.26768454E-02   5.21867197E-04   3.71856412E-04   5.97074696E-05   6.40619165E-05   5.18022388E-05  
  90               2.00633872E+00   2.70075943E+03   8.05575431E-01   1.57366477E-01   3.58881336E-02   5.21012105E-04   3.70725904E-04   5.96017425E-05   6.38707945E-05   5.16903151E-05  
  91               2.18316541E+00   2.73630109E+03   8.02526216E-01   1.57100629E-01   3.92050233E-02   5.20128619E-04   3.69546269E-04   5.94913042E-05   6.36728563E-05   5.15585031E-05  
  92               2.37588090E+00   2.77180127E+03   7.99338745E-01   1.56822730E-01   4.26722918E-02   5.19204832E-04   3.68300496E-04   5.93743929E-05   6.34664237E-05   5.14044803E-05  
  93               2.58575067E+00   2.80686276E+03   7.96075208E-01   1.56538203E-01   4.62222874E-02   5.18258655E-04   3.67011784E-04   5.92526947E-05   6.32538260E-05   5.12291999E-05  
  94               2.81410847E+00   2.84195977E+03   7.92677250E-01   1.56241958E-01   4.99184846E-02   5.17273214E-04   3.65656289E-04   5.91236166E-05   6.30327681E-05   5.10292034E-05  
  95               3.06236947E+00   2.87661082E+03   7.89225368E-01   1.55941015E-01   5.36733195E-02   5.16271697E-04   3.64265290E-04   5.89892893E-05   6.28062643E-05   5.08064415E-05  
  96               3.33203597E+00   2.91132599E+03   7.85648856E-01   1.55629208E-01   5.75637005E-02   5.15233654E-04   3.62809806E-04   5.88463145E-05   6.25715898E-05   5.05563733E-05  
  97               3.62471186E+00   2.94559316E+03   7.82040349E-01   1.55314613E-01   6.14888587E-02   5.14185770E-04   3.61327085E-04   5.86970007E-05   6.23321859E-05   5.02819459E-05  
  98               3.94211339E+00   2.97998135E+03   7.78311676E-01   1.54989542E-01   6.55447031E-02   5.13102542E-04   3.59780613E-04   5.85367410E-05   6.20847067E-05   4.99771391E-05  
  99               4.28607055E+00   3.01392209E+03   7.74572247E-01   1.54663536E-01   6.96122155E-02   5.12015488E-04   3.58215712E-04   5.83681278E-05   6.18331819E-05   4.96463283E-05  
  100              4.65847627E+00   3.04801260E+03   7.70720473E-01   1.54327735E-01   7.38018974E-02   5.10895220E-04   3.56589664E-04   5.81851946E-05   6.15738256E-05   4.92821306E-05  
  101              5.06127810E+00   3.08164260E+03   7.66880220E-01   1.53992939E-01   7.79790088E-02   5.09777419E-04   3.54955184E-04   5.79907128E-05   6.13111950E-05   4.88905897E-05  
