# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  50               8.95762430E-01   9.86979847E+02   8.38167112E-01   1.60438809E-01   7.64457503E-04   1.53567222E-09   5.15294589E-04   1.59450061E-05   5.92020360E-05   3.30072510E-06  
  51               1.02754562E+00   1.03085480E+03   8.38194462E-01   1.60432108E-01   7.44053684E-04   4.54119806E-09   4.94677024E-04   3.65204783E-05   5.94241488E-05   2.85104941E-06  
  52               1.17977340E+00   1.06890629E+03   8.38231317E-01   1.60423098E-01   7.16357312E-04   1.06790814E-08   4.66759088E-04   6.43879495E-05   5.95435004E-05   2.60487741E-06  
  53               1.36056678E+00   1.11778372E+03   8.38304723E-01   1.60405178E-01   6.61071653E-04   2.97544642E-08   4.11121429E-04   1.19936149E-04   5.96932864E-05   2.29012623E-06  
  54               1.58044744E+00   1.16030710E+03   8.38375596E-01   1.60387872E-01   6.07597618E-04   6.65170714E-08   3.57316941E-04   1.73665493E-04   5.97616226E-05   2.13805255E-06  
  55               1.85256264E+00   1.20669745E+03   8.38455053E-01   1.60368458E-01   5.47586823E-04   1.49551177E-07   2.96942840E-04   2.33963872E-04   5.98172353E-05   2.00837815E-06  
  56               2.18946974E+00   1.24733987E+03   8.38511187E-01   1.60354710E-01   5.05098957E-04   2.84244001E-07   2.54182508E-04   2.76675185E-04   5.98238184E-05   1.98037722E-06  
  57               2.60318078E+00   1.29211213E+03   8.38566940E-01   1.60341013E-01   4.62790238E-04   5.50408786E-07   2.11611757E-04   3.19198024E-04   5.98287681E-05   1.95371956E-06  
  58               3.10341264E+00   1.33117297E+03   8.38601119E-01   1.60332536E-01   4.36656723E-04   9.29189981E-07   1.85299151E-04   3.45480087E-04   5.97995971E-05   1.99866419E-06  
  59               3.69785210E+00   1.37463465E+03   8.38636322E-01   1.60323699E-01   4.09515091E-04   1.61462615E-06   1.57967171E-04   3.72777524E-04   5.97762266E-05   2.02917827E-06  
  60               4.39493241E+00   1.41244043E+03   8.38655959E-01   1.60318435E-01   3.93718428E-04   2.50435982E-06   1.41990495E-04   3.88729110E-04   5.97265959E-05   2.11436638E-06  
