# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               NH3             
  58               3.76408667E+00   1.16772853E+03   8.38219010E-01   1.60426011E-01   4.99218718E-08   7.24554515E-04   4.74803036E-04   5.63724845E-05   5.84200385E-05   4.85198211E-06  
  59               4.47295714E+00   1.21247834E+03   8.38257171E-01   1.60416649E-01   1.07010706E-07   6.95806301E-04   4.45780070E-04   8.53492290E-05   5.85067706E-05   4.66864168E-06  
  60               5.34100955E+00   1.26923322E+03   8.38322963E-01   1.60400520E-01   2.63954329E-07   6.46162855E-04   3.95766350E-04   1.35286868E-04   5.86532100E-05   4.35742216E-06  
  61               6.40849722E+00   1.31461886E+03   8.38369015E-01   1.60389186E-01   5.01108830E-07   6.11201674E-04   3.60547696E-04   1.70452963E-04   5.86470013E-05   4.35417817E-06  
  62               7.72084785E+00   1.37189279E+03   8.38435090E-01   1.60372867E-01   1.07432599E-06   5.60908982E-04   3.09936822E-04   2.20986873E-04   5.86923515E-05   4.23798675E-06  
  63               9.32133726E+00   1.41707132E+03   8.38470262E-01   1.60363984E-01   1.83022398E-06   5.33649409E-04   2.82460834E-04   2.48414523E-04   5.86151353E-05   4.37231893E-06  
  64               1.12564036E+01   1.47406844E+03   8.38519683E-01   1.60351260E-01   3.48003155E-06   4.94968198E-04   2.43384134E-04   2.87416664E-04   5.85889482E-05   4.39259533E-06  
  65               1.35572758E+01   1.51853678E+03   8.38537584E-01   1.60344792E-01   5.42555870E-06   4.77659967E-04   2.25508776E-04   3.05238743E-04   5.84606312E-05   4.62287491E-06  
  66               1.62382083E+01   1.57570987E+03   8.38569157E-01   1.60334711E-01   9.46449469E-06   4.51709126E-04   1.95375208E-04   3.35285862E-04   5.83952889E-05   4.71193685E-06  
  67               1.93170275E+01   1.62074669E+03   8.38567018E-01   1.60327419E-01   1.39916026E-05   4.39028316E-04   1.82355979E-04   3.48226942E-04   5.82461962E-05   4.97217359E-06  
  68               2.27573473E+01   1.67972021E+03   8.38577002E-01   1.60317567E-01   2.31950378E-05   4.29797643E-04   1.54402520E-04   3.76068178E-04   5.81751300E-05   5.06155771E-06  
  69               2.64898657E+01   1.72797953E+03   8.38576206E-01   1.60311322E-01   3.37615506E-05   4.18917711E-04   1.41070124E-04   3.89295671E-04   5.80481921E-05   5.26458623E-06  
  70               3.03900092E+01   1.79191072E+03   8.38558722E-01   1.60298161E-01   5.52388286E-05   4.07425582E-04   1.15697297E-04   4.14510158E-04   5.80151802E-05   5.25902346E-06  
  71               3.41596112E+01   1.84760856E+03   8.38489168E-01   1.60282012E-01   8.23336701E-05   4.22282859E-04   9.38179412E-05   4.36248756E-04   5.79766635E-05   5.28150693E-06  
  72               3.75933757E+01   1.89436729E+03   8.38409439E-01   1.60269134E-01   1.12908540E-04   4.53212611E-04   7.64776978E-05   4.53492503E-04   5.79435417E-05   5.31572711E-06  
  73               4.05752332E+01   1.93202070E+03   8.38390149E-01   1.60264442E-01   1.43840634E-04   4.46255331E-04   6.94416247E-05   4.60429044E-04   5.79006647E-05   5.35651112E-06  
  74               4.39593825E+01   1.97237248E+03   8.38351636E-01   1.60257291E-01   1.84439889E-04   4.39787829E-04   6.28920027E-05   4.66857361E-04   5.78490062E-05   5.40755800E-06  
  75               4.68635053E+01   2.00476507E+03   8.38321672E-01   1.60252769E-01   2.23364615E-04   4.35327219E-04   5.83580392E-05   4.71291315E-04   5.78019389E-05   5.45850371E-06  
  76               4.92347648E+01   2.03025933E+03   8.38293477E-01   1.60248944E-01   2.58542977E-04   4.32146114E-04   5.51150577E-05   4.74450868E-04   5.77632323E-05   5.50052957E-06  
  77               5.19955225E+01   2.05840452E+03   8.38257221E-01   1.60244445E-01   3.02370176E-04   4.29026895E-04   5.19211346E-05   4.77546756E-04   5.77158530E-05   5.55441928E-06  
  78               5.51834392E+01   2.08969983E+03   8.38178355E-01   1.60232927E-01   3.58017874E-04   4.25893333E-04   4.86880045E-05   4.80644044E-04   5.76588344E-05   5.61648848E-06  
  79               5.75753561E+01   2.11200359E+03   8.38140085E-01   1.60228781E-01   4.02410376E-04   4.23889575E-04   4.66301652E-05   4.82614060E-04   5.76162715E-05   5.66624855E-06  
  80               5.93208628E+01   2.12806731E+03   8.38109892E-01   1.60225566E-01   4.37128170E-04   4.22540725E-04   4.52086416E-05   4.83970062E-04   5.75857762E-05   5.70117673E-06  
  81               6.14039728E+01   2.14641429E+03   8.38072762E-01   1.60221728E-01   4.79517489E-04   4.21108216E-04   4.37283825E-05   4.85371855E-04   5.75478680E-05   5.74611111E-06  
  82               6.38813043E+01   2.16790484E+03   8.38025265E-01   1.60216917E-01   5.33415907E-04   4.19506752E-04   4.20693363E-05   4.86935549E-04   5.75035631E-05   5.79762221E-06  
  83               6.68119471E+01   2.19211813E+03   8.37966484E-01   1.60211121E-01   5.99591991E-04   4.17892642E-04   4.03865600E-05   4.88504508E-04   5.74494705E-05   5.86214054E-06  
  84               7.02602716E+01   2.21984526E+03   8.37891662E-01   1.60203887E-01   6.83351301E-04   4.16174407E-04   3.85858922E-05   4.90167938E-04   5.73864419E-05   5.93631462E-06  
  85               7.42961662E+01   2.25052938E+03   8.37799191E-01   1.60195146E-01   7.86206483E-04   4.14513201E-04   3.68262840E-05   4.91764482E-04   5.73107882E-05   6.02701062E-06  
  86               7.89954451E+01   2.28489996E+03   8.37682311E-01   1.60184273E-01   9.15623274E-04   4.12831369E-04   3.50263879E-05   4.93369088E-04   5.72231928E-05   6.13087608E-06  
  87               8.44406576E+01   2.32223457E+03   8.37536711E-01   1.60170757E-01   1.07390433E-03   4.11283919E-04   3.33383833E-05   4.94824861E-04   5.71195143E-05   6.25520698E-06  
  88               9.07211195E+01   2.36322832E+03   8.37349240E-01   1.60154230E-01   1.27148273E-03   4.15396213E-04   3.12801450E-05   4.96637687E-04   5.70070486E-05   6.39664467E-06  
  89               9.79369109E+01   2.40698391E+03   8.37130223E-01   1.60134655E-01   1.51115683E-03   4.14263994E-04   2.97985450E-05   4.97799850E-04   5.68691324E-05   6.56263225E-06  
  90               1.06199850E+02   2.45424948E+03   8.36858990E-01   1.60110587E-01   1.80744261E-03   4.13240038E-04   2.83960883E-05   4.98823425E-04   5.67119962E-05   6.74925381E-06  
  91               1.15634394E+02   2.50394876E+03   8.36533173E-01   1.60081876E-01   2.16272501E-03   4.12452051E-04   2.71960198E-05   4.99578918E-04   5.65306657E-05   6.96528513E-06  
  92               1.26385247E+02   2.55694808E+03   8.36134703E-01   1.60046907E-01   2.59677987E-03   4.11814136E-04   2.60977048E-05   5.00151752E-04   5.63253851E-05   7.20603006E-06  
  93               1.38623825E+02   2.61202810E+03   8.35662915E-01   1.60005678E-01   3.11013927E-03   4.11453710E-04   2.52148305E-05   5.00419839E-04   5.60902281E-05   7.48180570E-06  
  94               1.52548824E+02   2.67029326E+03   8.35092783E-01   1.59955965E-01   3.73014855E-03   4.11282298E-04   2.44354506E-05   5.00473842E-04   5.58250112E-05   7.78711794E-06  
  95               1.68391402E+02   2.73030577E+03   8.34428262E-01   1.59898171E-01   4.45230272E-03   4.11436773E-04   2.38732952E-05   5.00189546E-04   5.55226867E-05   8.13428769E-06  
  96               1.86419189E+02   2.79344444E+03   8.33635195E-01   1.59829273E-01   5.31387584E-03   4.11829872E-04   2.34074656E-05   4.99658457E-04   5.51824769E-05   8.51664745E-06  
  97               2.06942529E+02   2.85802152E+03   8.32726129E-01   1.59750429E-01   6.30099839E-03   4.12612209E-04   2.31561341E-05   4.98749895E-04   5.47960557E-05   8.94882881E-06  
  98               2.30320073E+02   2.92573536E+03   8.31654699E-01   1.59657551E-01   7.46421203E-03   4.13699717E-04   2.29899376E-05   4.97552963E-04   5.43615718E-05   9.42253430E-06  
  99               2.56967769E+02   2.99460198E+03   8.30447675E-01   1.59553042E-01   8.77416020E-03   4.15258711E-04   2.30362505E-05   4.95926153E-04   5.38689905E-05   9.95513112E-06  
  100              2.87358318E+02   3.06659639E+03   8.29044636E-01   1.59431590E-01   1.02966576E-02   4.17209213E-04   2.31603534E-05   4.93950707E-04   5.33141749E-05   1.05363743E-05  
  101              3.21953001E+02   3.13923701E+03   8.27497680E-01   1.59297809E-01   1.19747968E-02   4.19719225E-04   2.34996092E-05   4.91480093E-04   5.26860643E-05   1.11847431E-05  
