# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  52               1.51535115E-02   2.49660156E+03   6.86265209E-01   1.65677842E-01   1.46964178E-01   4.86604627E-04   3.29380544E-04   6.11415729E-05   5.57223607E-05   5.09447551E-05  
  53               1.70409513E-02   2.52163316E+03   6.79189220E-01   1.73375232E-01   1.46347281E-01   4.84562396E-04   3.26252243E-04   6.08769291E-05   5.54846579E-05   5.07299890E-05  
  54               1.91519402E-02   2.54646704E+03   6.72221776E-01   1.80954550E-01   1.45739839E-01   4.82551450E-04   3.23091510E-04   6.06158397E-05   5.52498719E-05   5.05184512E-05  
  55               2.15115066E-02   2.57133371E+03   6.65236349E-01   1.88553436E-01   1.45130819E-01   4.80535269E-04   3.19846142E-04   6.03537021E-05   5.50136378E-05   5.03063149E-05  
  56               2.41468982E-02   2.59608485E+03   6.58340159E-01   1.96055253E-01   1.44529570E-01   4.78544802E-04   3.16560968E-04   6.00943857E-05   5.47793831E-05   5.00968181E-05  
  57               2.70876552E-02   2.62097095E+03   6.51382213E-01   2.03624253E-01   1.43922928E-01   4.76536463E-04   3.13170770E-04   5.98324073E-05   5.45418369E-05   4.98853950E-05  
  58               3.03657216E-02   2.64580043E+03   6.44494796E-01   2.11116536E-01   1.43322424E-01   4.74548436E-04   3.09732737E-04   5.95725454E-05   5.43052052E-05   4.96760414E-05  
  59               3.40156033E-02   2.67079478E+03   6.37537744E-01   2.18684573E-01   1.42715839E-01   4.72540260E-04   3.06183930E-04   5.93097152E-05   5.40644574E-05   4.94645192E-05  
  60               3.80745071E-02   2.69573279E+03   6.30663373E-01   2.26162670E-01   1.42116453E-01   4.70555903E-04   3.02593393E-04   5.90494191E-05   5.38243987E-05   4.92554295E-05  
  61               4.25824484E-02   2.72085713E+03   6.23711982E-01   2.33724555E-01   1.41510340E-01   4.68549263E-04   2.98887163E-04   5.87858714E-05   5.35791638E-05   4.90439445E-05  
  62               4.75824721E-02   2.74589974E+03   6.16868968E-01   2.41168547E-01   1.40913666E-01   4.66573856E-04   2.95153268E-04   5.85257686E-05   5.33345884E-05   4.88356647E-05  
  63               5.31209323E-02   2.77109870E+03   6.09974605E-01   2.48668398E-01   1.40312504E-01   4.64583574E-04   2.91316007E-04   5.82633289E-05   5.30845767E-05   4.86257619E-05  
  64               5.92477327E-02   2.79617264E+03   6.03226012E-01   2.56009679E-01   1.39724041E-01   4.62635318E-04   2.87473725E-04   5.80056663E-05   5.28352718E-05   4.84201905E-05  
  65               6.60166120E-02   2.82137897E+03   5.96448112E-01   2.63382837E-01   1.39133011E-01   4.60678546E-04   2.83541425E-04   5.77464490E-05   5.25797412E-05   4.82136588E-05  
  66               7.34854140E-02   2.84643493E+03   5.89840891E-01   2.70570323E-01   1.38556853E-01   4.58770990E-04   2.79623418E-04   5.74928866E-05   5.23241170E-05   4.80122072E-05  
  67               8.17163783E-02   2.87163457E+03   5.83202033E-01   2.77792220E-01   1.37977925E-01   4.56854241E-04   2.75618226E-04   5.72376700E-05   5.20600667E-05   4.78097212E-05  
  68               9.07763073E-02   2.89671345E+03   5.76719468E-01   2.84844091E-01   1.37412614E-01   4.54982552E-04   2.71627435E-04   5.69875673E-05   5.17931129E-05   4.76118767E-05  
  69               1.00736937E-01   2.92198440E+03   5.70176370E-01   2.91961802E-01   1.36842013E-01   4.53093323E-04   2.67538151E-04   5.67347556E-05   5.15137256E-05   4.74121215E-05  
  70               1.11675396E-01   2.94715937E+03   5.63777823E-01   2.98922254E-01   1.36284007E-01   4.51245760E-04   2.63464226E-04   5.64866142E-05   5.12277980E-05   4.72166491E-05  
  71               1.23674859E-01   2.97254625E+03   5.57310719E-01   3.05957271E-01   1.35720011E-01   4.49378333E-04   2.59291276E-04   5.62354634E-05   5.09250276E-05   4.70190202E-05  
  72               1.36825156E-01   2.99783481E+03   5.50996630E-01   3.12825814E-01   1.35169347E-01   4.47555009E-04   2.55145955E-04   5.59892649E-05   5.06116794E-05   4.68259254E-05  
  73               1.51223339E-01   3.02332528E+03   5.44628962E-01   3.19752621E-01   1.34614000E-01   4.45716136E-04   2.50914711E-04   5.57405806E-05   5.02765646E-05   4.66311227E-05  
  74               1.66971299E-01   3.04868908E+03   5.38440124E-01   3.26484866E-01   1.34074236E-01   4.43928810E-04   2.46734602E-04   5.54977512E-05   4.99262318E-05   4.64416289E-05  
  75               1.84179704E-01   3.07423051E+03   5.32220609E-01   3.33250452E-01   1.33531786E-01   4.42132536E-04   2.42488065E-04   5.52532437E-05   4.95479994E-05   4.62511151E-05  
  76               2.02969546E-01   3.09963717E+03   5.26192643E-01   3.39807630E-01   1.33006030E-01   4.40391471E-04   2.38309872E-04   5.50150139E-05   4.91478823E-05   4.60662884E-05  
  77               2.23473119E-01   3.12524573E+03   5.20127773E-01   3.46404912E-01   1.32477043E-01   4.38639644E-04   2.34068316E-04   5.47748556E-05   4.87104397E-05   4.58802482E-05  
  78               2.45834657E-01   3.15075332E+03   5.14241691E-01   3.52807655E-01   1.31963638E-01   4.36939326E-04   2.29896896E-04   5.45404728E-05   4.82411699E-05   4.56995024E-05  
  79               2.70211363E-01   3.17651864E+03   5.08293923E-01   3.59277448E-01   1.31444841E-01   4.35221068E-04   2.25653379E-04   5.43032414E-05   4.77213457E-05   4.55167884E-05  
