# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                CO              
  44               8.73541810E-01   3.33800131E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910169E-04   1.21723997E-04   2.29805306E-05   2.75464277E-31   5.92057615E-27  
  45               1.00955116E+00   3.48851016E+02   8.38073910E-01   1.60463844E-01   5.31345354E-04   7.81909914E-04   1.21723975E-04   2.29805305E-05   7.06460038E-30   1.05797280E-25  
  46               1.16772552E+00   3.64915395E+02   8.38073910E-01   1.60463844E-01   5.31345354E-04   7.81908362E-04   1.21723911E-04   2.29805305E-05   1.48726410E-28   1.58062038E-24  
  47               1.35160160E+00   3.81396653E+02   8.38073804E-01   1.60463823E-01   5.31345285E-04   7.81906940E-04   1.21723717E-04   2.29805276E-05   2.88490646E-27   2.19651433E-23  
  48               1.56514863E+00   3.98961128E+02   8.38073815E-01   1.60463813E-01   5.31345252E-04   7.81778104E-04   1.21723248E-04   2.29805261E-05   4.64957254E-26   2.57900487E-22  
  49               1.81280086E+00   4.16938387E+02   8.38073826E-01   1.60463802E-01   5.31345217E-04   7.81650642E-04   1.21722072E-04   2.29805246E-05   6.91602109E-25   2.82076090E-21  
  50               2.09972872E+00   4.36061690E+02   8.38073936E-01   1.60463811E-01   5.31345244E-04   7.81524695E-04   1.21719335E-04   2.29805258E-05   8.69549454E-24   2.64853462E-20  
  51               2.43185121E+00   4.55620985E+02   8.38073768E-01   1.60463784E-01   5.31345155E-04   7.81561005E-04   1.21713015E-04   2.29805219E-05   1.01020919E-22   2.31724990E-19  
  52               2.81565710E+00   4.76374811E+02   8.38072996E-01   1.60463756E-01   5.31345062E-04   7.82206927E-04   1.21699510E-04   2.29805179E-05   1.00544501E-21   1.76499638E-18  
  53               3.25824292E+00   4.97554443E+02   8.38071324E-01   1.60463551E-01   5.31344384E-04   7.82850562E-04   1.21671117E-04   2.29804886E-05   9.26039134E-21   1.25144352E-17  
  54               3.76765169E+00   5.19960799E+02   8.38070839E-01   1.60463454E-01   5.31344063E-04   7.82363466E-04   1.21615640E-04   2.29804747E-05   7.44116593E-20   7.80516001E-17  
  55               4.35413682E+00   5.42834796E+02   8.38070999E-01   1.60463349E-01   5.31343715E-04   7.81266664E-04   1.21508937E-04   2.29804597E-05   5.58025731E-19   4.58459445E-16  
  56               5.02912531E+00   5.67045774E+02   8.38072134E-01   1.60463406E-01   5.31343904E-04   7.80170661E-04   1.21316304E-04   2.29804678E-05   3.70325238E-18   2.40902322E-15  
  57               5.80467194E+00   5.91740368E+02   8.38072359E-01   1.60463351E-01   5.31343723E-04   7.80170423E-04   1.20975535E-04   2.29804600E-05   2.29699781E-17   1.19000206E-14  
  58               6.69354621E+00   6.17791868E+02   8.38072733E-01   1.60463261E-01   5.31343422E-04   7.80170042E-04   1.20410866E-04   2.29804470E-05   1.27320291E-16   5.30191876E-14  
  59               7.71011913E+00   6.44283171E+02   8.38073337E-01   1.60463114E-01   5.31342936E-04   7.80169455E-04   1.19497641E-04   2.29804260E-05   6.64159941E-16   2.23264712E-13  
  60               8.87421876E+00   6.72239501E+02   8.38074251E-01   1.60462892E-01   5.31342201E-04   7.80168624E-04   1.18116115E-04   2.29803943E-05   3.14950316E-15   8.60565488E-13  
  61               1.02081277E+01   7.00754259E+02   8.38075591E-01   1.60462567E-01   5.31341119E-04   7.80167520E-04   1.16088137E-04   2.29803476E-05   1.41615680E-14   3.15494176E-12  
  62               1.17360284E+01   7.30875145E+02   8.38077416E-01   1.60462122E-01   5.31339637E-04   7.80166238E-04   1.13322577E-04   2.29802839E-05   5.84879906E-14   1.06844254E-11  
  63               1.34842778E+01   7.61583212E+02   8.38079803E-01   1.60461536E-01   5.31337671E-04   7.80164968E-04   1.09691780E-04   2.29802000E-05   2.29811504E-13   3.45073483E-11  
  64               1.54838269E+01   7.93977589E+02   8.38082652E-01   1.60460813E-01   5.31335201E-04   7.80164132E-04   1.05272336E-04   2.29800963E-05   8.39820304E-13   1.04033111E-10  
  65               1.77796616E+01   8.27130705E+02   8.38085938E-01   1.60459953E-01   5.31332149E-04   7.80164310E-04   1.00085308E-04   2.29799728E-05   2.94467683E-12   3.01152779E-10  
  66               2.04183001E+01   8.62248359E+02   8.38089544E-01   1.60459017E-01   5.31328522E-04   7.80166590E-04   9.44208452E-05   2.29798381E-05   9.66227756E-12   8.18364357E-10  
