# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  75               1.67669450E-01   3.16664931E+03   4.53254046E-01   4.19152593E-01   1.26644867E-01   4.19330844E-04   1.94283445E-04   5.24417524E-05   4.56137310E-05   4.38694973E-05  
  76               1.84660413E-01   3.19213950E+03   4.47407260E-01   4.25512500E-01   1.26134803E-01   4.17641663E-04   1.89826849E-04   5.22133679E-05   4.50041404E-05   4.36905203E-05  
  77               2.03199066E-01   3.21805415E+03   4.41393089E-01   4.32054414E-01   1.25610128E-01   4.15904008E-04   1.85251039E-04   5.19785127E-05   4.43154780E-05   4.35064099E-05  
  78               2.23419682E-01   3.24382853E+03   4.35635815E-01   4.38316782E-01   1.25107847E-01   4.14240393E-04   1.80834351E-04   5.17523604E-05   4.35662702E-05   4.33299708E-05  
  79               2.45468756E-01   3.27011796E+03   4.29667292E-01   4.44808847E-01   1.24587128E-01   4.12515599E-04   1.76277106E-04   5.15181499E-05   4.27129706E-05   4.31470696E-05  
  80               2.69505925E-01   3.29633139E+03   4.23923961E-01   4.51055834E-01   1.24086038E-01   4.10855652E-04   1.71867167E-04   5.12914638E-05   4.17774037E-05   4.29708751E-05  
  81               2.95706070E-01   3.32311263E+03   4.17956898E-01   4.57546070E-01   1.23565417E-01   4.09130868E-04   1.67315609E-04   5.10562590E-05   4.07097086E-05   4.27878372E-05  
  82               3.24260533E-01   3.34984964E+03   4.12209443E-01   4.63797277E-01   1.23063938E-01   4.07469268E-04   1.62915831E-04   5.08283322E-05   3.95370612E-05   4.26113292E-05  
  83               3.55380109E-01   3.37716085E+03   4.06261298E-01   4.70266636E-01   1.22544937E-01   4.05749417E-04   1.58396926E-04   5.05926895E-05   3.82049718E-05   4.24286676E-05  
  84               3.89297052E-01   3.40439802E+03   4.00571299E-01   4.76455025E-01   1.22048437E-01   4.04103814E-04   1.54062389E-04   5.03656371E-05   3.67514325E-05   4.22536880E-05  
  85               4.26268433E-01   3.43218055E+03   3.94728554E-01   4.82809387E-01   1.21538596E-01   4.02413719E-04   1.49647369E-04   5.01325397E-05   3.51185135E-05   4.20739934E-05  
  86               4.66577546E-01   3.45987411E+03   3.89171228E-01   4.88853099E-01   1.21053637E-01   4.00805667E-04   1.45440460E-04   4.99089206E-05   3.33565112E-05   4.19027902E-05  
  87               5.10536609E-01   3.48814673E+03   3.83466368E-01   4.95057101E-01   1.20555789E-01   3.99154513E-04   1.41163011E-04   4.96793926E-05   3.14031195E-05   4.17270197E-05  
  88               5.58488023E-01   3.51638146E+03   3.78029600E-01   5.00969304E-01   1.20081313E-01   3.97580286E-04   1.37086760E-04   4.94586374E-05   2.93247958E-05   4.15592039E-05  
  89               6.10807993E-01   3.54527830E+03   3.72419410E-01   5.07069964E-01   1.19591693E-01   3.95955323E-04   1.32929234E-04   4.92310087E-05   2.70611474E-05   4.13860311E-05  
  90               6.67907884E-01   3.57423910E+03   3.67029117E-01   5.12931280E-01   1.19121243E-01   3.94393205E-04   1.28945269E-04   4.90103626E-05   2.46994675E-05   4.12193470E-05  
  91               7.30239161E-01   3.60397413E+03   3.61424820E-01   5.19025232E-01   1.18632112E-01   3.92768407E-04   1.24860276E-04   4.87813759E-05   2.21921236E-05   4.10460760E-05  
  92               7.98295394E-01   3.63389535E+03   3.55984236E-01   5.24941023E-01   1.18157258E-01   3.91189988E-04   1.20916440E-04   4.85573201E-05   1.96519050E-05   4.08775899E-05  
  93               8.72619371E-01   3.66469247E+03   3.50301347E-01   5.31120320E-01   1.17661262E-01   3.89540386E-04   1.16860791E-04   4.83239126E-05   1.70563941E-05   4.07016610E-05  
  94               9.53807164E-01   3.69575133E+03   3.44760126E-01   5.37145544E-01   1.17177630E-01   3.87930440E-04   1.12936056E-04   4.80946021E-05   1.45425215E-05   4.05298439E-05  
  95               1.04251730E+00   3.72772415E+03   3.38991414E-01   5.43418285E-01   1.16674162E-01   3.86253109E-04   1.08916282E-04   4.78564511E-05   1.21113779E-05   4.03510276E-05  
  96               1.13947592E+00   3.75996629E+03   3.33385227E-01   5.49514391E-01   1.16184889E-01   3.84620927E-04   1.05043139E-04   4.76230607E-05   9.89616632E-06   4.01769404E-05  
  97               1.24548708E+00   3.79311685E+03   3.27592764E-01   5.55813301E-01   1.15679387E-01   3.82932536E-04   1.01106872E-04   4.73822482E-05   7.89326796E-06   3.99970888E-05  
  98               1.36143915E+00   3.82648961E+03   3.22013005E-01   5.61881072E-01   1.15192465E-01   3.81302999E-04   9.73483629E-05   4.71478511E-05   6.19112912E-06   3.98234591E-05  
  99               1.48831557E+00   3.86074003E+03   3.16299402E-01   5.68094665E-01   1.14693892E-01   3.79631320E-04   9.35628124E-05   4.69078051E-05   4.75443458E-06   3.96456297E-05  
  100              1.62719843E+00   3.89523319E+03   3.10807414E-01   5.74067424E-01   1.14214677E-01   3.78019861E-04   8.99589368E-05   4.66743607E-05   3.60674820E-06   3.94742667E-05  
  101              1.77927883E+00   3.93068307E+03   3.05172857E-01   5.80195473E-01   1.13723048E-01   3.76362076E-04   8.63269910E-05   4.64349066E-05   2.68957649E-06   3.92984264E-05  
