# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  85               7.08914327E-01   3.48886094E+03   4.29272494E-01   4.45227697E-01   1.24551146E-01   4.12378701E-04   1.68869556E-04   5.11807930E-05   3.44203874E-05   4.30911412E-05  
  86               7.84241236E-01   3.52103631E+03   4.23097603E-01   4.51942666E-01   1.24012295E-01   4.10590515E-04   1.64208858E-04   5.09222760E-05   3.21801191E-05   4.28994117E-05  
  87               8.67340684E-01   3.55419508E+03   4.16611659E-01   4.58995727E-01   1.23446283E-01   4.08711612E-04   1.59359637E-04   5.06515399E-05   2.96673507E-05   4.26980888E-05  
  88               9.59035247E-01   3.58735319E+03   4.10440712E-01   4.65705937E-01   1.22907730E-01   4.06922782E-04   1.54733557E-04   5.03905253E-05   2.70062029E-05   4.25060141E-05  
  89               1.06023746E+00   3.62165298E+03   4.03903732E-01   4.72814080E-01   1.22337225E-01   4.05027016E-04   1.49891159E-04   5.01153120E-05   2.41072268E-05   4.23026774E-05  
  90               1.17195767E+00   3.65606176E+03   3.97641475E-01   4.79623265E-01   1.21790673E-01   4.03209345E-04   1.45251970E-04   4.98482722E-05   2.11476276E-05   4.21073531E-05  
  91               1.29532273E+00   3.69171317E+03   3.91000118E-01   4.86844713E-01   1.21211040E-01   4.01280464E-04   1.40396659E-04   4.95665503E-05   1.80765939E-05   4.19003645E-05  
  92               1.43158685E+00   3.72752161E+03   3.84634896E-01   4.93765830E-01   1.20655500E-01   3.99429559E-04   1.35750866E-04   4.92929146E-05   1.51186022E-05   4.17014078E-05  
  93               1.58215781E+00   3.76458383E+03   3.77935198E-01   5.01050860E-01   1.20070790E-01   3.97479576E-04   1.30926513E-04   4.90061165E-05   1.22614654E-05   4.14921194E-05  
  94               1.74861066E+00   3.80176847E+03   3.71562075E-01   5.07980881E-01   1.19514591E-01   3.95621323E-04   1.26347537E-04   4.87289802E-05   9.72032654E-06   4.12923501E-05  
  95               1.93271818E+00   3.84017063E+03   3.64926033E-01   5.15197154E-01   1.18935482E-01   3.93683474E-04   1.21643220E-04   4.84410792E-05   7.47044203E-06   4.10843814E-05  
  96               2.13645737E+00   3.87872947E+03   3.58626554E-01   5.22047648E-01   1.18385764E-01   3.91838901E-04   1.17191871E-04   4.81629558E-05   5.63171362E-06   4.08861908E-05  
  97               2.36203687E+00   3.91861919E+03   3.52053376E-01   5.29196172E-01   1.17812200E-01   3.89909654E-04   1.12615856E-04   4.78735979E-05   4.13028053E-06   4.06794519E-05  
  98               2.61190822E+00   3.95881285E+03   3.45767712E-01   5.36032239E-01   1.17263746E-01   3.88057301E-04   1.08263688E-04   4.75921059E-05   2.98897771E-06   4.04809729E-05  
  99               2.88880247E+00   4.00051934E+03   3.39167498E-01   5.43210724E-01   1.16687879E-01   3.86105298E-04   1.03771548E-04   4.72979199E-05   2.11518526E-06   4.02726955E-05  
  100              3.19574499E+00   4.04273262E+03   3.32784888E-01   5.50152708E-01   1.16131014E-01   3.84206392E-04   9.94646271E-05   4.70090351E-05   1.48515952E-06   4.00705390E-05  
  101              3.53610561E+00   4.08660352E+03   3.26075024E-01   5.57450852E-01   1.15545621E-01   3.82199156E-04   9.50238556E-05   4.67070209E-05   1.02488082E-06   3.98581842E-05  
