# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               OH              
  13               3.46220563E-05   1.98840726E+03   2.04658870E-01   6.50440774E-01   1.43841894E-01   4.76251789E-04   3.22307233E-04   2.34011000E-06   5.99588632E-05   1.02651823E-05  
  14               3.99534004E-05   1.94308341E+03   1.44151138E-01   7.06064528E-01   1.48690416E-01   4.92304658E-04   3.38826302E-04   9.60649892E-07   6.19795065E-05   6.41971688E-06  
  15               4.63154502E-05   2.01858034E+03   2.15555416E-01   6.40423795E-01   1.42968685E-01   4.73361678E-04   3.18637794E-04   2.77773480E-06   5.95941430E-05   1.14757543E-05  
  16               5.38966192E-05   1.97479598E+03   1.54437731E-01   6.96608220E-01   1.47866134E-01   4.89576706E-04   3.35772189E-04   1.18371884E-06   6.16350514E-05   7.34428926E-06  
  17               6.29415882E-05   2.04898148E+03   2.24534658E-01   6.32169372E-01   1.42249098E-01   4.70980203E-04   3.15366308E-04   3.20856279E-06   5.92932901E-05   1.26533099E-05  
  18               7.37148664E-05   2.00697203E+03   1.63776261E-01   6.88023462E-01   1.47117808E-01   4.87100206E-04   3.32845873E-04   1.42492335E-06   6.13220654E-05   8.30031338E-06  
  19               8.65639838E-05   2.07996067E+03   2.32206004E-01   6.25117286E-01   1.41634302E-01   4.68945685E-04   3.12341869E-04   3.64055946E-06   5.90359170E-05   1.38270914E-05  
  20               1.01862151E-04   2.03999193E+03   1.72604076E-01   6.79908205E-01   1.46410393E-01   4.84759134E-04   3.29933424E-04   1.69146487E-06   6.10259042E-05   9.31279875E-06  
  21               1.20100352E-04   2.11184253E+03   2.39154640E-01   6.18729583E-01   1.41077405E-01   4.67102865E-04   3.09403097E-04   4.08923011E-06   5.88024394E-05   1.50338098E-05  
  22               1.41801084E-04   2.07423835E+03   1.81390724E-01   6.71830804E-01   1.45706264E-01   4.82428914E-04   3.26899778E-04   1.99604857E-06   6.07308420E-05   1.04164309E-05  
  23               1.67654818E-04   2.14499117E+03   2.45989542E-01   6.12446446E-01   1.40529608E-01   4.65290164E-04   3.06362268E-04   4.57996015E-06   5.85724730E-05   1.63222280E-05  
  24               1.98389518E-04   2.11014486E+03   1.90666780E-01   6.63303511E-01   1.44962902E-01   4.79968771E-04   3.23576556E-04   2.35945878E-06   6.04191092E-05   1.16597881E-05  
  25               2.34970845E-04   2.17990313E+03   2.53440605E-01   6.05596900E-01   1.39932417E-01   4.63313912E-04   3.02968900E-04   5.15518820E-06   5.83215899E-05   1.77642816E-05  
  26               2.78405473E-04   2.14834496E+03   2.01171864E-01   6.53646411E-01   1.44121035E-01   4.77182458E-04   3.19709283E-04   2.81927059E-06   6.00659507E-05   1.31217955E-05  
  27               3.30033310E-04   2.21740337E+03   2.62592186E-01   5.97184125E-01   1.39198929E-01   4.60886373E-04   2.98816496E-04   5.89517115E-06   5.80135223E-05   1.94840225E-05  
  28               3.91225232E-04   2.19013913E+03   2.14368292E-01   6.41515234E-01   1.43063472E-01   4.73681964E-04   3.14771742E-04   3.46139581E-06   5.96224767E-05   1.49699893E-05  
  29               4.63798672E-04   2.26006622E+03   2.76630790E-01   5.84278863E-01   1.38073763E-01   4.57162003E-04   2.92665010E-04   7.06268532E-06   5.75418115E-05   2.18643903E-05  
  30               5.48470571E-04   2.28131639E+03   2.83296125E-01   5.78151636E-01   1.37539533E-01   4.55393677E-04   2.89600252E-04   7.68225940E-06   5.73176151E-05   2.30742316E-05  
  31               6.48726814E-04   2.30812460E+03   2.96364559E-01   5.66136551E-01   1.36491797E-01   4.51925179E-04   2.83965983E-04   8.87664737E-06   5.68793525E-05   2.50837741E-05  
  32               7.66617925E-04   2.32988765E+03   3.02975981E-01   5.60051295E-01   1.35961473E-01   4.50169006E-04   2.86025269E-04   9.79385283E-06   5.66565343E-05   2.68894213E-05  
  33               9.05225724E-04   2.35735133E+03   3.16287158E-01   5.47814877E-01   1.34894555E-01   4.46637012E-04   2.79815512E-04   1.12601794E-05   5.62100543E-05   2.91125950E-05  
  34               1.06911456E-03   2.37968739E+03   3.22840798E-01   5.41790421E-01   1.34369217E-01   4.44898131E-04   2.76277436E-04   1.21406399E-05   5.59890261E-05   3.05351993E-05  
  35               1.26276053E-03   2.40809379E+03   3.36408458E-01   5.29318278E-01   1.33281689E-01   4.41297908E-04   2.69551734E-04   1.38980282E-05   5.55336783E-05   3.29365405E-05  
  36               1.49132252E-03   2.43110498E+03   3.42886840E-01   5.23363032E-01   1.32762350E-01   4.39578892E-04   2.65798336E-04   1.49241637E-05   5.53148083E-05   3.44452548E-05  
  37               1.76084557E-03   2.46043937E+03   3.56658349E-01   5.10703552E-01   1.31658424E-01   4.35924393E-04   2.58555164E-04   1.70061091E-05   5.48523173E-05   3.70037650E-05  
  38               2.07777060E-03   2.48411075E+03   3.63078412E-01   5.04801944E-01   1.31143726E-01   4.34220743E-04   2.54580273E-04   1.81932012E-05   5.46350015E-05   3.85871440E-05  
  39               2.44937814E-03   2.51424829E+03   3.76966493E-01   4.92035358E-01   1.30030395E-01   4.30535120E-04   2.46852304E-04   2.06235088E-05   5.41682628E-05   4.12641836E-05  
  40               2.88481056E-03   2.53845547E+03   3.83257527E-01   4.86252386E-01   1.29526005E-01   4.28865599E-04   2.42701934E-04   2.19702418E-05   5.39548297E-05   4.28921002E-05  
  41               3.39479342E-03   2.56936485E+03   3.97158026E-01   4.73474439E-01   1.28411614E-01   4.25176488E-04   2.34545479E-04   2.47614997E-05   5.34872860E-05   4.56403308E-05  
  42               3.99140711E-03   2.59416375E+03   4.03318159E-01   4.67811821E-01   1.27917683E-01   4.23541594E-04   2.30236806E-04   2.62728986E-05   5.32777434E-05   4.72925830E-05  
  43               4.68871207E-03   2.62590694E+03   4.17219978E-01   4.55032707E-01   1.26803122E-01   4.19851940E-04   2.21678637E-04   2.94447174E-05   5.28097270E-05   5.00701789E-05  
  44               5.50230390E-03   2.65136446E+03   4.23303969E-01   4.49440100E-01   1.26315261E-01   4.18237142E-04   2.17207182E-04   3.11338970E-05   5.26021973E-05   5.17299317E-05  
  45               6.45014772E-03   2.68394081E+03   4.37166226E-01   4.36697393E-01   1.25203807E-01   4.14557795E-04   2.08307312E-04   3.46923098E-05   5.21350430E-05   5.44818918E-05  
  46               7.55181440E-03   2.71000005E+03   4.43128085E-01   4.31217065E-01   1.24725706E-01   4.12975300E-04   2.03732318E-04   3.65472196E-05   5.19310175E-05   5.61135292E-05  
  47               8.82956740E-03   2.74329737E+03   4.56829074E-01   4.18622627E-01   1.23627121E-01   4.09338568E-04   1.94618713E-04   4.04640670E-05   5.14687658E-05   5.87673835E-05  
  48               1.03072155E-02   2.76987799E+03   4.62641452E-01   4.13279704E-01   1.23160974E-01   4.07795639E-04   1.90001293E-04   4.24673749E-05   5.12691256E-05   6.03359200E-05  
  49               1.20115808E-02   2.80430726E+03   4.76669386E-01   4.00384734E-01   1.22036119E-01   4.04071937E-04   1.80459729E-04   4.68695519E-05   5.07955142E-05   6.28927578E-05  
  50               1.39708423E-02   2.83201879E+03   4.83059707E-01   3.94510526E-01   1.21523607E-01   4.02375484E-04   1.75411893E-04   4.92261360E-05   5.05760282E-05   6.44495799E-05  
  51               1.62164164E-02   2.86676900E+03   4.96574265E-01   3.82087447E-01   1.20439860E-01   3.98787864E-04   1.66023617E-04   5.38713875E-05   5.01190789E-05   6.67363314E-05  
  52               1.87810841E-02   2.89435432E+03   5.02287871E-01   3.76835260E-01   1.19981582E-01   3.97270923E-04   1.61354822E-04   5.61936607E-05   4.99215342E-05   6.81011056E-05  
  53               2.17015239E-02   2.92904237E+03   5.14992934E-01   3.65156240E-01   1.18962697E-01   3.93898001E-04   1.52411236E-04   6.09153614E-05   4.94911070E-05   7.00559995E-05  
  54               2.50162107E-02   2.95634579E+03   5.20002401E-01   3.60551253E-01   1.18560859E-01   3.92567855E-04   1.48201499E-04   6.31356256E-05   4.93163874E-05   7.12265156E-05  
  55               2.87685339E-02   2.99103547E+03   5.32055245E-01   3.49471676E-01   1.17594235E-01   3.89367883E-04   1.39699896E-04   6.79075456E-05   4.89072419E-05   7.28574609E-05  
  56               3.30042024E-02   3.01851728E+03   5.36893383E-01   3.45024081E-01   1.17206116E-01   3.88083077E-04   1.35666280E-04   7.01700783E-05   4.87376083E-05   7.38800601E-05  
  57               3.77733612E-02   3.05373789E+03   5.48832721E-01   3.34048688E-01   1.16248558E-01   3.84913015E-04   1.27350092E-04   7.51368870E-05   4.83318539E-05   7.52111768E-05  
  58               4.31281820E-02   3.08192527E+03   5.54004341E-01   3.29294398E-01   1.15833677E-01   3.83539495E-04   1.23221910E-04   7.76174255E-05   4.81505614E-05   7.60986811E-05  
  59               4.91291022E-02   3.11782013E+03   5.65923749E-01   3.18337094E-01   1.14877677E-01   3.80374435E-04   1.15105004E-04   8.27922291E-05   4.77451430E-05   7.71023921E-05  
  60               5.58412798E-02   3.14660485E+03   5.71264207E-01   3.13427394E-01   1.14449229E-01   3.78955834E-04   1.11021193E-04   8.54279768E-05   4.75576936E-05   7.78223923E-05  
  61               6.33414963E-02   3.18286913E+03   5.82804782E-01   3.02818012E-01   1.13523562E-01   3.75890950E-04   1.03379011E-04   9.06411719E-05   4.71645360E-05   7.84755384E-05  
  62               7.17138213E-02   3.21175715E+03   5.87800146E-01   2.98225269E-01   1.13122751E-01   3.74563607E-04   9.96685460E-05   9.32134035E-05   4.69879414E-05   7.90217132E-05  
  63               8.10575867E-02   3.24801945E+03   5.98570697E-01   2.88323327E-01   1.12258778E-01   3.71702614E-04   9.27566885E-05   9.82615003E-05   4.66199436E-05   7.93554685E-05  
  64               9.14812983E-02   3.27692239E+03   6.03079835E-01   2.84177219E-01   1.11896913E-01   3.70503868E-04   8.94991559E-05   1.00691463E-04   4.64587733E-05   7.97601063E-05  
  65               1.03111547E-01   3.31353413E+03   6.13295977E-01   2.74784425E-01   1.11077331E-01   3.67789314E-04   8.31947397E-05   1.05628386E-04   4.61086933E-05   7.98185827E-05  
  66               1.16085582E-01   3.34310643E+03   6.17749537E-01   2.70688997E-01   1.10719866E-01   3.66604617E-04   8.01451698E-05   1.08091345E-04   4.59486028E-05   8.00890424E-05  
  67               1.30563263E-01   3.38074280E+03   6.27818722E-01   2.61430697E-01   1.09911987E-01   3.63927987E-04   7.42321053E-05   1.13077508E-04   4.56029073E-05   7.98762807E-05  
  68               1.46718086E-01   3.41168404E+03   6.32602241E-01   2.57031454E-01   1.09527992E-01   3.62654625E-04   7.11986231E-05   1.15746989E-04   4.54311230E-05   7.99841933E-05  
  69               1.64753680E-01   3.45072052E+03   6.42638096E-01   2.47803150E-01   1.08722700E-01   3.59985247E-04   6.56380546E-05   1.20828434E-04   4.50860424E-05   7.94925673E-05  
  70               1.84892803E-01   3.48318067E+03   6.47686178E-01   2.43160216E-01   1.08317422E-01   3.58640088E-04   6.26782143E-05   1.23682359E-04   4.49047056E-05   7.94273398E-05  
  71               2.07397158E-01   3.52358756E+03   6.57502456E-01   2.34133260E-01   1.07529681E-01   3.56026726E-04   5.75737875E-05   1.28768103E-04   4.45663498E-05   7.86799219E-05  
  72               2.32554057E-01   3.55745422E+03   6.62581563E-01   2.29461519E-01   1.07121888E-01   3.54671102E-04   5.48112469E-05   1.31700267E-04   4.43831045E-05   7.84609707E-05  
  73               2.60698655E-01   3.59917513E+03   6.72006379E-01   2.20794305E-01   1.06365552E-01   3.52158389E-04   5.02294692E-05   1.36695522E-04   4.40570678E-05   7.74983513E-05  
  74               2.92199403E-01   3.63436700E+03   6.76941599E-01   2.16254925E-01   1.05969338E-01   3.50837691E-04   4.77348794E-05   1.39615428E-04   4.38775777E-05   7.71544921E-05  
  75               3.27481867E-01   3.67753733E+03   6.85951769E-01   2.07969255E-01   1.05246356E-01   3.48430017E-04   4.36539345E-05   1.44484251E-04   4.35645424E-05   7.60043628E-05  
  76               3.67013949E-01   3.71459328E+03   6.90944212E-01   2.03377686E-01   1.04845656E-01   3.47088691E-04   4.13298302E-05   1.47469170E-04   4.33821612E-05   7.55018960E-05  
  77               4.11331703E-01   3.75992667E+03   6.99820069E-01   1.95216136E-01   1.04133601E-01   3.44707935E-04   3.76115408E-05   1.52311233E-04   4.30729328E-05   7.41216185E-05  
  78               4.61027082E-01   3.79967181E+03   7.05159977E-01   1.90305669E-01   1.03705164E-01   3.43264418E-04   3.53504908E-05   1.55473530E-04   4.28782170E-05   7.33835506E-05  
  79               5.16771294E-01   3.84766061E+03   7.13988393E-01   1.82188359E-01   1.02997066E-01   3.40880475E-04   3.19574588E-05   1.60287268E-04   4.25700017E-05   7.17442236E-05  
  80               5.79305964E-01   3.89016687E+03   7.19526740E-01   1.77095907E-01   1.02552823E-01   3.39366433E-04   2.98295329E-05   1.63519894E-04   4.23678621E-05   7.07762947E-05  
  81               6.49455626E-01   3.94066247E+03   7.28079529E-01   1.69232412E-01   1.01866937E-01   3.37028009E-04   2.68305402E-05   1.68146488E-04   4.20680850E-05   6.89299437E-05  
  82               7.28128207E-01   3.98591191E+03   7.33660033E-01   1.64101485E-01   1.01419389E-01   3.35471204E-04   2.48915546E-05   1.71335630E-04   4.18636393E-05   6.77595311E-05  
  83               8.16308843E-01   4.03920129E+03   7.41949523E-01   1.56480287E-01   1.00754689E-01   3.33153580E-04   2.22609878E-05   1.75737409E-04   4.15719533E-05   6.57191025E-05  
  84               9.15076689E-01   4.08767481E+03   7.47645505E-01   1.51243362E-01   1.00297933E-01   3.31508581E-04   2.04901723E-05   1.78886893E-04   4.13629940E-05   6.43256722E-05  
  85               1.02556586E+00   4.14422889E+03   7.55744607E-01   1.43797315E-01   9.96485501E-02   3.29152539E-04   1.81909500E-05   1.83076472E-04   4.10772403E-05   6.20937343E-05  
  86               1.14900376E+00   4.19659794E+03   7.61663605E-01   1.38355447E-01   9.91739528E-02   3.27340524E-04   1.65685249E-05   1.86228792E-04   4.08606729E-05   6.04502148E-05  
  87               1.28662626E+00   4.25692619E+03   7.69624008E-01   1.31036927E-01   9.85357238E-02   3.24856649E-04   1.45777001E-05   1.90251629E-04   4.05795751E-05   5.80431029E-05  
  88               1.43975165E+00   4.31313881E+03   7.75597736E-01   1.25544709E-01   9.80567579E-02   3.22832002E-04   1.31527707E-05   1.93375728E-04   4.03612464E-05   5.62249857E-05  
  89               1.60966263E+00   4.37652862E+03   7.83099673E-01   1.18647522E-01   9.74552883E-02   3.20180494E-04   1.15201065E-05   1.97191212E-04   4.00953157E-05   5.38062242E-05  
  90               1.79772789E+00   4.43581931E+03   7.88819688E-01   1.13388335E-01   9.69966488E-02   3.17878876E-04   1.03437023E-05   2.00283108E-04   3.98853849E-05   5.19697670E-05  
  91               2.00524165E+00   4.50219875E+03   7.95831882E-01   1.06941003E-01   9.64344017E-02   3.14853992E-04   9.03184042E-06   2.04088400E-04   3.96359356E-05   4.96287303E-05  
  92               2.23354591E+00   4.56537981E+03   8.01464338E-01   1.01761828E-01   9.59827204E-02   3.11953795E-04   8.04951068E-06   2.07474369E-04   3.94297484E-05   4.77778728E-05  
  93               2.48385261E+00   4.63578465E+03   8.08197011E-01   9.55707079E-02   9.54427743E-02   3.08101555E-04   6.98612863E-06   2.11734655E-04   3.91907962E-05   4.55177990E-05  
  94               2.75738470E+00   4.70364376E+03   8.13804917E-01   9.04131550E-02   9.49929178E-02   3.04095926E-04   6.17249574E-06   2.15896966E-04   3.89871874E-05   4.36982928E-05  
  95               3.05525115E+00   4.77830324E+03   8.20201568E-01   8.45295911E-02   9.44796919E-02   2.98800154E-04   5.33527012E-06   2.21201698E-04   3.87611352E-05   4.16233479E-05  
  96               3.37861967E+00   4.85037556E+03   8.25559376E-01   7.96003566E-02   9.40496191E-02   2.93061140E-04   4.69846010E-06   2.26726902E-04   3.85676812E-05   3.99935277E-05  
  97               3.72862964E+00   4.92851641E+03   8.31403280E-01   7.42228544E-02   9.35803467E-02   2.85606277E-04   4.07254132E-06   2.33779034E-04   3.83614840E-05   3.82576322E-05  
  98               4.10644822E+00   5.00437740E+03   8.36361117E-01   6.96589669E-02   9.31819284E-02   2.77378919E-04   3.59348471E-06   2.41421798E-04   3.81830699E-05   3.69253896E-05  
  99               4.51309306E+00   5.08651270E+03   8.41699382E-01   6.47433870E-02   9.27526736E-02   2.66865763E-04   3.12702308E-06   2.51155127E-04   3.79955500E-05   3.55404008E-05  
  100              4.94933373E+00   5.16760673E+03   8.46388593E-01   6.04231910E-02   9.23752087E-02   2.55158887E-04   2.75720661E-06   2.61946245E-04   3.78287697E-05   3.44579260E-05  
  101              5.41564960E+00   5.25511014E+03   8.51333561E-01   5.58654018E-02   9.19768010E-02   2.40707382E-04   2.40097624E-06   2.75317743E-04   3.76570929E-05   3.33432046E-05  
